row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(482.509.800.000),(482.509.800.000),,-482509800000.0,-482509800000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(22.154.400.000),(22.154.400.000),,-22154400000.0,-22154400000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trảChi phí dự án Hồ trợ và Chuyển giao Năng lựcKỹ thuật,(122.509.091.000),(122.509.091.000),,-122509091000.0,-122509091000.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trảChi phí dự án Hồ trợ và Chuyển giao Năng lựcKỹ thuật,4.820.964.932,20.210.341.964,,4820964932.0,20210341964.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Tokio,Bảo Việt Tokio,Bảo Việt Tokio,Bảo Việt Tokio,Bảo Việt Tokio,Bảo Việt Tokio,,,
Marine,Bảo Việt Tokio > Marine,Marine,Cổ tức được chia,60.875.250.192,36.040.714.302,,60875250192.0,36040714302.0
Bảo Việt Resort,Bảo Việt Tokio > Bảo Việt Resort,Bảo Việt Resort,Cổ tức ưu đãi được chiaMua cổ phần ưu đãi,1.668.528.370-,333.705.67412.303.290.000,,,3.337056741230329e+19
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,"Cổ tức nhận đượcDoanh thu dịch vụ CNTTDoanh thu lãi tiền gửiDoanh thu lãi trái phiếuChi phí repo và lãi vayDoanh thu cho thuê trụ sở làm việc, phí giữ xe",46.800.000.0003.695.237.047483.495.122.857110.495.680.093(157.726.107.986),-3.374.373.648341.609.489.959110.497.532.869(176.870.690.953),,,
Long Việt,Bảo Việt Bank > Long Việt,Long Việt,Chuyển nhượng bất động sảnThu hồi khoản ứng trước tiền mua bất động sản do hủy hợp đồng,-,8.907.285.66721.940.045.000,,,8.9072856672194e+20
VIGEBA,Bảo Việt Bank > VIGEBA,VIGEBA,Doanh thu xây lắpCổ tức được chia,-2.700.000.000,656.090.5235.400.000.000,,-2700000000.0,6.5609052354e+18
