row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Công cụ, dụng cụquản lýVND",Tài sảncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Công cụ, dụng cụquản lýVND",numeric__Tài sảncố định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Ngày 01/01/2018,Nguyên giá: > Ngày 01/01/2018,Ngày 01/01/2018,1.112.735.031.266,162.134.653.181,456.656.930.015,238.222.117.665,3.748.391.653,1.973.497.123.780,1112735031266.0,162134653181.0,456656930015.0,238222117665.0,3748391653.0,1973497123780.0
- Mua sắm,Nguyên giá: > - Mua sắm,- Mua sắm,-,31.347.069.621,60.125.626.346,54.428.191.047,258.298.260,146.159.185.274,,31347069621.0,60125626346.0,54428191047.0,258298260.0,146159185274.0
- Chuyển từ xây dựng cơbản dở dang,Nguyên giá: > - Chuyển từ xây dựng cơbản dở dang,- Chuyển từ xây dựng cơbản dở dang,31.268.766.367,-,-,-,-,31.268.766.367,31268766367.0,,,,,31268766367.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(232.146.073),(329.713.750),(18.279.478.936),(5.182.614.055),-,(24.023.952.814),-232146073.0,-329713750.0,-18279478936.0,-5182614055.0,,-24023952814.0
- Điều chỉnh theo quyếttoán,Nguyên giá: > - Điều chỉnh theo quyếttoán,- Điều chỉnh theo quyếttoán,(1.424.624.739),(362.132.497),(10.151.000),-,-,(1.796.908.236),-1424624739.0,-362132497.0,-10151000.0,,,-1796908236.0
Ngày 31/12/2018,Nguyên giá: > Ngày 31/12/2018,Ngày 31/12/2018,1.142.347.026.821,192.789.876.555,498.492.926.425,287.467.694.657,4.006.689.913,2.125.104.214.371,1142347026821.0,192789876555.0,498492926425.0,287467694657.0,4006689913.0,2125104214371.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Ngày 01/01/2018,Giá trị khấu hao lũy kế: > Ngày 01/01/2018,Ngày 01/01/2018,458.016.402.080,106.798.750.101,361.316.818.761,201.176.856.564,1.349.387.973,1.128.658.215.479,458016402080.0,106798750101.0,361316818761.0,201176856564.0,1349387973.0,1128658215479.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,41.605.453.301,20.676.363.775,30.503.345.225,26.226.508.161,843.053.041,119.854.723.503,41605453301.0,20676363775.0,30503345225.0,26226508161.0,843053041.0,119854723503.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(232.146.073),(329.713.750),(18.224.416.497),(5.182.614.055),-,(23.968.890.375),-232146073.0,-329713750.0,-18224416497.0,-5182614055.0,,-23968890375.0
- Điều chỉnh theo quyếttoán,Giá trị khấu hao lũy kế: > - Điều chỉnh theo quyếttoán,- Điều chỉnh theo quyếttoán,(254.117.588),(324.616.566),(10.151.000),-,-,(588.885.154),-254117588.0,-324616566.0,-10151000.0,,,-588885154.0
Ngày 31/12/2018,Giá trị khấu hao lũy kế: > Ngày 31/12/2018,Ngày 31/12/2018,499.135.591.720,126.820.783.560,373.585.596.489,222.220.750.670,2.192.441.014,1.223.955.163.453,499135591720.0,126820783560.0,373585596489.0,222220750670.0,2192441014.0,1223955163453.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Ngày 01/01/2018,Giá trị còn lại: > Ngày 01/01/2018,Ngày 01/01/2018,654.718.629.186,55.335.903.080,95.340.111.254,37.045.261.101,2.399.003.680,844.838.908.301,654718629186.0,55335903080.0,95340111254.0,37045261101.0,2399003680.0,844838908301.0
Ngày 31/12/2018,Giá trị còn lại: > Ngày 31/12/2018,Ngày 31/12/2018,643.211.435.101,65.969.092.995,124.907.329.936,65.246.943.987,1.814.248.899,901.149.050.918,643211435101.0,65969092995.0,124907329936.0,65246943987.0,1814248899.0,901149050918.0
