row_label_raw,row_label_full,Mỗ số,CHỈ TIÊU,Diễn giải,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (số liệu đã trình bày),Điều chính,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (trình bày lại),numeric__CHỈ TIÊU,numeric__Diễn giải,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (số liệu đã trình bày),numeric__Điều chính,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (trình bày lại)
01,01,01,Doanh thu phí bảo hiểm,,25.008.139.902.575,1.076.159.722,25.009.216.062.297,,,25008139902575.0,1076159722.0,25009216062297.0
02,02,02,Phí bảo hiểm gốc,[6],25.521.511.280.522,1.076.159.722,25.522.587.440.244,,,25521511280522.0,1076159722.0,25522587440244.0
08,08,08,Doanh thu phí bảo hiểm thuần,,23.366.992.438.233,1.076.159.722,23.368.068.597.955,,,23366992438233.0,1076159722.0,23368068597955.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm,,24.042.084.842.027,1.076.159.722,24.043.161.001.749,,,24042084842027.0,1076159722.0,24043161001749.0
16,16,16,Chỉ bồi thường bảo hiểm gốc và chi trả đáo hạn,,(8.462.636.715.124),141.418.300,(8.462.495.296.824),,,-8462636715124.0,141418300.0,-8462495296824.0
21,21,21,Thu bồi thường nhượng tái bảo hiểm,,847.695.972.396,9.029.081.187,856.725.053.583,,,847695972396.0,9029081187.0,856725053583.0
27,27,27,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,,(922.714.299.451),785.671.015,(921.928.628.436),,,-922714299451.0,785671015.0,-921928628436.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm,[7],(17.923.694.750.092),9.956.170.502,(17.913.738.579.590),,,-17923694750092.0,9956170502.0,-17913738579590.0
41,41,41,Tổng chỉ trực tiếp hoạt động kinh doanh bảo hiểm,,(23.506.187.046.881),9.956.170.502,(23.496.230.876.379),,,-23506187046881.0,9956170502.0,-23496230876379.0
42,42,42,Lợi nhuận góp hoạt động kinh doanh bảo hiểm,,535.897.795.146,11.032.330.224,546.930.125.370,,,535897795146.0,11032330224.0,546930125370.0
46,46,46,Chỉ phí quản lý doanh nghiệp,[8],(3.147.504.547.029),(243.700.000),(3.147.748.247.029),,,-3147504547029.0,-243700000.0,-3147748247029.0
47.1,47.1,47.1,Thu nhập khác,,23.604.974.262,201.870.917,23.806.845.179,,,23604974262.0,201870917.0,23806845179.0
47,47,47,Lợi nhuận khác,[9],18.711.072.416,201.870.917,18.912.943.333,,,18711072416.0,201870917.0,18912943333.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUÊ,,1.933.742.593.327,10.990.501.141,1.944.733.094.468,,,1933742593327.0,10990501141.0,1944733094468.0
51,51,51,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,[10],(329.414.538.838),(3.482.148.205),(332.896.687.043),,,-329414538838.0,-3482148205.0,-332896687043.0
60,60,60,LỢI NHUẬN SAU THUÊ THU NHẬP DOANH NGHIỆP,,1.603.096.073.974,7.508.352.936,1.610.604.426.910,,,1603096073974.0,7508352936.0,1610604426910.0
61,61,61,LỢI NHUẬN SAU THUÊ CỦA CHỦ SỐ HỮU TẬP ĐOÀN,,1.555.453.247.273,7.508.352.936,1.562.961.600.209,,,1555453247273.0,7508352936.0,1562961600209.0
