row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018 > Giá gốc,Ngày 31 tháng 12 năm 2018 > Giá trị thuần,Ngày 31 tháng 12 năm 2018 > Dự phòng,Ngày 31 tháng 12 năm 2017 > Giá gốc,Ngày 31 tháng 12 năm 2017 > Giá trị thuần,Ngày 31 tháng 12 năm 2017 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2018 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2017 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2017 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2017 > Dự phòng
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,,,
Tổng Công ty Cổ phần Tái bào hiểm quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tái bào hiểm quốc gia Việt Nam,Tổng Công ty Cổ phần Tái bào hiểm quốc gia Việt Nam,326.384.722.106,308.846.420.000,(17.538.302.106),307.102.304.928,279.707.160.000,(27.395.144.928),326384722106.0,308846420000.0,-17538302106.0,307102304928.0,279707160000.0,-27395144928.0
Ngân hàng Thương mại Cổ phần Quản đội,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,314.913.851.083,303.676.007.348,(11.237.843.735),135.014.386.808,135.014.386.808,-,314913851083.0,303676007348.0,-11237843735.0,135014386808.0,135014386808.0,
Công ty Cổ phần Tập đoàn Công nghệ CMC,Cổ phiếu niêm yết > Công ty Cổ phần Tập đoàn Công nghệ CMC,Công ty Cổ phần Tập đoàn Công nghệ CMC,144.000.425.500,87.106.985.500,(56.893.440.000),144.000.425.500,98.368.425.500,(45.632.000.000),144000425500.0,87106985500.0,-56893440000.0,144000425500.0,98368425500.0,-45632000000.0
Công ty Cổ phần Vận tải biển Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Vận tải biển Việt Nam,Công ty Cổ phần Vận tải biển Việt Nam,79.450.010.350,6.520.003.260,(72.930.007.090),79.450.010.350,13.440.006.720,(66.010.003.630),79450010350.0,6520003260.0,-72930007090.0,79450010350.0,13440006720.0,-66010003630.0
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,165.096.097.040,151.269.360.000,(13.826.737.040),3.892.621,3.892.621,-,165096097040.0,151269360000.0,-13826737040.0,3892621.0,3892621.0,
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,913.589.085.078,802.486.922.767,(111.102.162.311),867.720.488.483,803.516.738.029,(64.203.750.454),913589085078.0,802486922767.0,-111102162311.0,867720488483.0,803516738029.0,-64203750454.0
,,,1.943.434.191.157,1.659.905.698.875,(283.528.492.282),1.533.291.508.690,1.330.050.609.678,(203.240.899.012),1943434191157.0,1659905698875.0,-283528492282.0,1533291508690.0,1330050609678.0,-203240899012.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Công ty Cổ phần Tập đoàn Địa ốc SSG,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn Địa ốc SSG,Công ty Cổ phần Tập đoàn Địa ốc SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
