row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Diễn giải,Ngày 31 tháng 12 năm 2017 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2017 (trình bày lại),numeric__CHÍ TIÊU,numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2017 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2017 (trình bày lại)
300,300,300,Nợ PHẢI TRẢ,,76.934.938.329.085,(4.242.713.839),76.930.695.615.246,,,76934938329085.0,-4242713839.0,76930695615246.0
310,310,310,Nợ ngắn hạn,[3],22.286.031.335.459,(3.457.042.824),22.282.574.292.635,,,22286031335459.0,-3457042824.0,22282574292635.0
311,311,311,Phải trả người bán ngắn hạn,,2.694.745.921.329,(20.073.195.412),2.674.672.725.917,,,2694745921329.0,-20073195412.0,2674672725917.0
311.1,311.1,311.1,Phải trả hoạt động bảo hiểm,,2.542.056.192.076,(20.073.195.412),2.521.982.996.664,,,2542056192076.0,-20073195412.0,2521982996664.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,,109.050.213.117,17.894.183.227,126.944.396.344,,,109050213117.0,17894183227.0,126944396344.0
319,319,319,Phải trả ngắn hạn khác,,574.150.514.863,(1.278.030.639),572.872.484.224,,,574150514863.0,-1278030639.0,572872484224.0
330,330,330,Nợ dài hạn,[4],54.648.906.993.626,(785.671.015),54.648.121.322.611,,,54648906993626.0,-785671015.0,54648121322611.0
344,344,344,Dự phòng nghiệp vụ bảo hiểm,,54.510.410.426.492,(785.671.015),54.509.624.755.477,,,54510410426492.0,-785671015.0,54509624755477.0
344.3,344.3,344.3,Dự phòng bồi thường,,2.411.767.134.999,(785.671.015),2.410.981.463.984,,,2411767134999.0,-785671015.0,2410981463984.0
400,400,400,VỐN CHỦ SỞ HỮU,,14.467.397.747.794,(6.576.102.086),14.460.821.645.708,,,14467397747794.0,-6576102086.0,14460821645708.0
410,410,410,Vốn chủ sở hữu,[5],14.467.397.747.794,(6.576.102.086),14.460.821.645.708,,,14467397747794.0,-6576102086.0,14460821645708.0
421,421,421,Lợi nhuận sau thuế đã thực hiện chưa phân phối,,2.808.185.106.210,(6.576.102.086),2.801.609.004.124,,,2808185106210.0,-6576102086.0,2801609004124.0
421a,421a,421a,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,1.321.439.018.007,(14.084.455.022),1.307.354.562.985,,,1321439018007.0,-14084455022.0,1307354562985.0
421b,421b,421b,Lợi nhuận sau thuế chưa phân phối năm nay,,1.486.746.088.203,7.508.352.936,1.494.254.441.139,,,1486746088203.0,7508352936.0,1494254441139.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,91.402.336.076.879,(10.818.815.925),91.391.517.260.954,,,91402336076879.0,-10818815925.0,91391517260954.0
