row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2018 VND,Ngày 31 tháng 12 năm 2017 (trình bày lại) VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018 VND,numeric__Ngày 31 tháng 12 năm 2017 (trình bày lại) VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.1,,,141.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,1.943.434.191.157,1.533.291.508.690,,1943434191157.0,1533291508690.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,893.556.010.080,766.411.545.643,,893556010080.0,766411545643.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,237.087.218.076,229.013.065.934,,237087218076.0,229013065934.0
Trái phiếu,Trái phiếu,Trái phiếu,,150.026.959.200,120.026.959.200,,150026959200.0,120026959200.0
,,,,3.224.104.378.513,2.648.743.079.467,,3224104378513.0,2648743079467.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,14.1,(400.870.158.797),(297.888.188.831),141.0,-400870158797.0,-297888188831.0
,,,,2.823.234.219.716,2.350.854.890.636,,2823234219716.0,2350854890636.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,14.2,,,142.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,52.583.420.049.828,28.803.779.881.093,,52583420049828.0,28803779881093.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,51.120.258.719.740,27.436.990.939.483,,51120258719740.0,27436990939483.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,99.950.463.301,262.781.431.005,,99950463301.0,262781431005.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,1.363.210.866.787,1.104.007.510.605,,1363210866787.0,1104007510605.0
Dải hạn,Dải hạn,Dải hạn,,38.038.433.198.120,40.564.547.957.380,,38038433198120.0,40564547957380.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,5.319.101.717.666,2.763.924.337.250,,5319101717666.0,2763924337250.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,32.719.331.480.454,37.800.623.620.130,,32719331480454.0,37800623620130.0
,,,,90.621.853.247.948,69.368.327.838.473,,90621853247948.0,69368327838473.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,14.3,,,143.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",14.3.1,2.627.105.701.528,2.921.475.367.471,1431.0,2627105701528.0,2921475367471.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.3.2,367.843.361.221,366.889.741.221,1432.0,367843361221.0,366889741221.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,14.3.2,(35.996.167.223),(32.058.951.786),1432.0,-35996167223.0,-32058951786.0
,,,,2.958.952.895.526,3.256.306.156.906,,2958952895526.0,3256306156906.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,96.404.040.363.190,74.975.488.886.015,,96404040363190.0,74975488886015.0
