row_label_raw,row_label_full,col_0,Dự phòngbảo hiểm góc và nhận tảiVND,Dự phòng nhượngtái bảo hiểm (tài sản tải bảo hiểm)VND,Dự phòngbảo hiểm thuầnVND,numeric__Dự phòngbảo hiểm góc và nhận tảiVND,numeric__Dự phòng nhượngtái bảo hiểm (tài sản tải bảo hiểm)VND,numeric__Dự phòngbảo hiểm thuầnVND
Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,Tại ngày 01 tháng 01 năm 2018,,,
Dự phòng phí chưa được hưởng,Tại ngày 01 tháng 01 năm 2018 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,4.225.419.830.577,(976.386.202.557),3.249.033.628.020,4225419830577.0,-976386202557.0,3249033628020.0
Dự phòng bồi thường,Tại ngày 01 tháng 01 năm 2018 > Dự phòng bồi thường,Dự phòng bồi thường,2.383.354.558.616,(1.368.268.611.949),1.015.085.946.667,2383354558616.0,-1368268611949.0,1015085946667.0
Dự phòng dao động lớn,Tại ngày 01 tháng 01 năm 2018 > Dự phòng dao động lớn,Dự phòng dao động lớn,23.172.011.377,-,23.172.011.377,23172011377.0,,23172011377.0
Tổng cộng,Tại ngày 01 tháng 01 năm 2018 > Tổng cộng,Tổng cộng,6.631.946.400.570,(2.344.654.814.506),4.287.291.586.064,6631946400570.0,-2344654814506.0,4287291586064.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,,
Dự phòng phí chưa được hưởng,Tại ngày 31 tháng 12 năm 2018 > Dự phòng phí chưa được hưởng,Dự phòng phí chưa được hưởng,4.943.464.588.780,(1.615.482.739.727),3.327.981.849.053,4943464588780.0,-1615482739727.0,3327981849053.0
Dự phòng bồi thường,Tại ngày 31 tháng 12 năm 2018 > Dự phòng bồi thường,Dự phòng bồi thường,3.086.848.652.300,(1.724.798.628.889),1.362.050.023.411,3086848652300.0,-1724798628889.0,1362050023411.0
Dự phòng dao động lớn,Tại ngày 31 tháng 12 năm 2018 > Dự phòng dao động lớn,Dự phòng dao động lớn,71.690.215.063,-,71.690.215.063,71690215063.0,,71690215063.0
Dự phòng đảm bảo cân đối,Tại ngày 31 tháng 12 năm 2018 > Dự phòng đảm bảo cân đối,Dự phòng đảm bảo cân đối,31.183.891.186,-,31.183.891.186,31183891186.0,,31183891186.0
Tổng cộng,Tại ngày 31 tháng 12 năm 2018 > Tổng cộng,Tổng cộng,8.133.187.347.329,(3.340.281.368.616),4.792.905.978.713,8133187347329.0,-3340281368616.0,4792905978713.0
