row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Bảo hiểm nhân thọ,Bảo hiểm phi nhân thọ,Hoạt động tài chính,Hoạt động bắt động sản và hoạt động khác,Các bút toán điều chỉnh hợp nhất,Tổng,numeric__Bảo hiểm nhân thọ,numeric__Bảo hiểm phi nhân thọ,numeric__Hoạt động tài chính,numeric__Hoạt động bắt động sản và hoạt động khác,numeric__Các bút toán điều chỉnh hợp nhất,numeric__Tổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,21.484.116,9.381.077,-,-,(114),30.865.079,21484116.0,9381077.0,,,-114.0,30865079.0
Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,Phi nhượng tái bảo hiểm,(12.385),(2.524.920),-,-,-,(2.537.305),-12385.0,-2524920.0,,,,-2537305.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,823,740.361,-,-,(3.148),738.036,823.0,740361.0,,,-3148.0,738036.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,21.472.554,7.596.518,-,-,(3.262),29.065.810,21472554.0,7596518.0,,,-3262.0,29065810.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(6.009.110),(5.420.595),-,-,-,(11.429.705),-6009110.0,-5420595.0,,,,-11429705.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,-,(207.609),-,-,-,(207.609),,-207609.0,,,,-207609.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,-,11.571,-,-,-,11.571,,11571.0,,,,11571.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,4.536,1.847.200,-,-,-,1.851.736,4536.0,1847200.0,,,,1851736.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(14.263.601),(31.184),-,-,-,(14.294.785),-14263601.0,-31184.0,,,,-14294785.0
Tăng dự phòng lãi cam kết đầu tư tối thiểu,Tăng dự phòng lãi cam kết đầu tư tối thiểu,Tăng dự phòng lãi cam kết đầu tư tối thiểu,(963.718),-,-,-,-,(963.718),-963718.0,,,,,-963718.0
