row_label_raw,row_label_full,Đơn vị được đầu tư,Vốn góp của Tập đoàn,Tại ngày 01 tháng 01 năm 2018,Giảm vốn trong năm,Cổ tức nhận được trong năm,Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,Tại ngày 31 tháng 12 năm 2018,numeric__Vốn góp của Tập đoàn,numeric__Tại ngày 01 tháng 01 năm 2018,numeric__Giảm vốn trong năm,numeric__Cổ tức nhận được trong năm,numeric__Lợi nhuận/(lỗ) trong năm thuộc về Tập đoàn,numeric__Tại ngày 31 tháng 12 năm 2018
Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,Theo phương pháp vốn chủ sở hữu,,,,,,
Bảo Việt Resort (*),Theo phương pháp vốn chủ sở hữu > Bảo Việt Resort (*),Bảo Việt Resort (*),36.803.290.000,32.058.623.237,(30.390.094.867),(1.668.528.370),-,-,36803290000.0,32058623237.0,-30390094867.0,-1668528370.0,,
VIGEBA (**),Theo phương pháp vốn chủ sở hữu > VIGEBA (**),VIGEBA (**),54.000.000.000,61.942.818.062,-,(2.700.000.000),1.493.157.187,60.735.975.249,54000000000.0,61942818062.0,,-2700000000.0,1493157187.0,60735975249.0
Long Việt,Theo phương pháp vốn chủ sở hữu > Long Việt,Long Việt,29.269.440.000,31.603.176.540,-,-,(2.042.789.143),29.560.387.397,29269440000.0,31603176540.0,,,-2042789143.0,29560387397.0
Bảo Việt Tokio Marine,Theo phương pháp vốn chủ sở hữu > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,147.000.000.000,226.763.533.559,-,(60.875.250.192),43.650.874.075,209.539.157.442,147000000000.0,226763533559.0,,-60875250192.0,43650874075.0,209539157442.0
Bảo Việt SCIC,Theo phương pháp vốn chủ sở hữu > Bảo Việt SCIC,Bảo Việt SCIC,70.000.000.000,75.849.214.476,-,-,(3.088.228),75.846.126.248,70000000000.0,75849214476.0,,,-3088228.0,75846126248.0
Bảo Việt Bank,Theo phương pháp vốn chủ sở hữu > Bảo Việt Bank,Bảo Việt Bank,1.560.000.000.000,1.732.372.880.984,-,(46.800.000.000),37.001.174.208,1.722.574.055.192,1560000000000.0,1732372880984.0,,-46800000000.0,37001174208.0,1722574055192.0
Trung Nam Phú Quốc,Theo phương pháp vốn chủ sở hữu > Trung Nam Phú Quốc,Trung Nam Phú Quốc,431.200.000.000,431.200.000.000,-,-,-,431.200.000.000,431200000000.0,431200000000.0,,,,431200000000.0
Du lịch Lâm Đồng (*),Theo phương pháp vốn chủ sở hữu > Du lịch Lâm Đồng (*),Du lịch Lâm Đồng (*),203.315.728.000,232.035.120.613,(253.418.532.400),-,21.383.411.787,-,203315728000.0,232035120613.0,-253418532400.0,,21383411787.0,
Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,Theo giá gốc,,,,,,
PLT,Theo giá gốc > PLT,PLT,97.650.000.000,97.650.000.000,-,-,-,97.650.000.000,97650000000.0,97650000000.0,,,,97650000000.0
,,,2.629.238.458.000,2.921.475.367.471,(283.808.627.267),(112.043.778.562),101.482.739.886,2.627.105.701.528,2629238458000.0,2921475367471.0,-283808627267.0,-112043778562.0,101482739886.0,2627105701528.0
