row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 (trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,1. Lợi nhuận trước thuế,,1.395.554.829.787,1.944.733.094.468,,,1395554829787.0,1944733094468.0
01,01,01,2. Điều chỉnh cho các khoản,,8.671.240.010.465,6.596.636.821.025,,,8671240010465.0,6596636821025.0
02,02,02,- Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình,"10, 11",164.910.588.238,146.090.503.907,,,164910588238.0,146090503907.0
03,03,03,- Các khoản dự phòng,,16.934.070.466.118,11.594.805.369.065,,,16934070466118.0,11594805369065.0
04,04,04,- (Lãi)/Lỗ chênh lệch tỉ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(12.679.979.897),616.288.100,,,-12679979897.0,616288100.0
05,05,05,- Lãi từ hoạt động đầu tư,,(9.123.212.285.921),(5.863.740.343.185),,,-9123212285921.0,-5863740343185.0
06,06,06,- Chi phí lãi vay,,707.876.331.691,718.865.003.138,,,707876331691.0,718865003138.0
07,07,07,- Các khoản điều chỉnh khác,,274.890.236,-,,,274890236.0,
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,10.066.794.840.252,8.541.369.915.493,,,10066794840252.0,8541369915493.0
09,09,09,- Tăng các khoản phải thu,,(430.609.327.160),(2.582.972.258.984),,,-430609327160.0,-2582972258984.0
10,10,10,- Tăng hàng tồn kho,,(4.499.518.930),(25.772.928.507),,,-4499518930.0,-25772928507.0
11,11,11,"- Tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,564.587.758.687,1.242.891.803.359,,,564587758687.0,1242891803359.0
12,12,12,- Tăng chi phí trả trước,,(762.074.516.344),(607.537.213.595),,,-762074516344.0,-607537213595.0
13,13,13,- (Tăng)/Giảm chứng khoán kinh doanh,,(575.361.299.046),105.665.633.150,,,-575361299046.0,105665633150.0
14,14,14,- Tiền lãi vay đã trả,,(761.725.374.891),(589.169.962.197),,,-761725374891.0,-589169962197.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(271.433.425.584),(239.450.259.049),,,-271433425584.0,-239450259049.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(122.605.995.526),(75.581.406.042),,,-122605995526.0,-75581406042.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,7.703.073.141.458,5.769.443.323.628,,,7703073141458.0,5769443323628.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,,,,
21,21,21,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(320.626.904.129),(382.043.545.560),,,-320626904129.0,-382043545560.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,12.515.592.640,1.277.010.539,,,12515592640.0,1277010539.0
23,23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(73.801.135.626.747),(43.931.366.111.635),,,-73801135626747.0,-43931366111635.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,52.785.252.681.718,30.908.507.307.192,,,52785252681718.0,30908507307192.0
25,25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(11.148.620.000),(109.953.290.000),,,-11148620000.0,-109953290000.0
26,26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,203.315.728.000,67.608.566.004,,,203315728000.0,67608566004.0
27,27,27,"7. Tiền thu lãi cho vay, cổ tức, lợi nhuận được chia và lãi bán các khoản đầu tư nắm giữ đến ngày đáo hạn",,8.344.270.760.791,4.733.488.436.891,,,8344270760791.0,4733488436891.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(12.787.556.387.727),(8.712.481.626.569),,,-12787556387727.0,-8712481626569.0
