row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2017 (trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2017 (trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,97.689.728.084.028,76.930.695.615.246,,,97689728084028.0,76930695615246.0
310,310,310,I. Nợ ngắn hạn,,25.776.543.605.980,22.282.574.292.635,,,25776543605980.0,22282574292635.0
311,311,311,1. Phải trả người bán ngắn hạn,15.1,2.596.036.995.177,2.674.672.725.917,,151.0,2596036995177.0,2674672725917.0
311.1,311.1,311.1,1.1 Phải trả hoạt động bảo hiểm,,2.453.552.624.456,2.521.982.996.664,,,2453552624456.0,2521982996664.0
311.3,311.3,311.3,1.2 Phải trả người bán và nhà cung cấp dịch vụ,,142.484.370.721,152.689.729.253,,,142484370721.0,152689729253.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,15.2,16.901.747.900,132.060.292.425,,152.0,16901747900.0,132060292425.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,16,42.497.216.203,126.944.396.344,,16.0,42497216203.0,126944396344.0
314,314,314,4. Phải trả người lao động,,718.241.970.364,727.386.592.336,,,718241970364.0,727386592336.0
315,315,315,5. Chi phí phải trả ngắn hạn,,121.088.934.728,58.405.565.654,,,121088934728.0,58405565654.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,17,120.612.625.918,72.613.800.667,,17.0,120612625918.0,72613800667.0
318.1,318.1,318.1,7. Doanh thu hoa hồng chưa được hưởng,18.1,397.478.032.466,108.694.988.008,,181.0,397478032466.0,108694988008.0
319,319,319,8. Phải trả ngắn hạn khác,19,1.111.276.887.131,572.872.484.224,,19.0,1111276887131.0,572872484224.0
320,320,320,9. Vay ngắn hạn,20,131.341.550.381,91.842.475.489,,20.0,131341550381.0,91842475489.0
322,322,322,"10. Quỹ khen thưởng, phúc lợi",21,104.780.971.559,115.010.713.662,,21.0,104780971559.0,115010713662.0
324,324,324,11. Giao dịch mua bán lại trái phiếu,22,20.416.286.674.153,17.602.070.257.909,,22.0,20416286674153.0,17602070257909.0
330,330,330,II. Nợ dài hạn,,71.913.184.478.048,54.648.121.322.611,,,71913184478048.0,54648121322611.0
337,337,337,1. Phải trả dài hạn khác,,189.090.539.440,133.289.291.125,,,189090539440.0,133289291125.0
338,338,338,2. Vay dài hạn,20,448.670.863.007,3.922.299.998,,20.0,448670863007.0,3922299998.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,16.2.2,1.470.074.791,1.284.976.011,,1622.0,1470074791.0,1284976011.0
344,344,344,4. Dự phòng nghiệp vụ bảo hiểm,23,71.273.953.000.810,54.509.624.755.477,,23.0,71273953000810.0,54509624755477.0
344.1,344.1,344.1,4.1 Dự phòng toán học,,60.315.141.673.392,46.210.980.584.316,,,60315141673392.0,46210980584316.0
344.2,344.2,344.2,4.2 Dự phòng phí chưa được hưởng,,5.101.503.684.535,4.360.283.332.177,,,5101503684535.0,4360283332177.0
344.3,344.3,344.3,4.3 Dự phòng bồi thường,,3.127.067.815.795,2.410.981.463.984,,,3127067815795.0,2410981463984.0
344.4,344.4,344.4,4.4 Dự phòng chia lãi,,1.579.155.162.552,1.429.375.103.187,,,1579155162552.0,1429375103187.0
344.5,344.5,344.5,4.5 Dự phòng lãi cam kết đầu tư tối thiểu,,963.717.898.004,-,,,963717898004.0,
344.6,344.6,344.6,4.6 Dự phòng đảm bảo cân đối,,115.676.551.469,74.832.260.436,,,115676551469.0,74832260436.0
344.7,344.7,344.7,4.7 Dự phòng dao động lớn,,71.690.215.063,23.172.011.377,,,71690215063.0,23172011377.0
