row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Lợi nhuận kể toán trước thuế,Lợi nhuận kể toán trước thuế,Lợi nhuận kể toán trước thuế,387.947.674.090,2.274.878.608.421,387947674090.0,2274878608421.0
Điều chỉnh hồi tố (Thuyết minh số 36) (i),Điều chỉnh hồi tố (Thuyết minh số 36) (i),Điều chỉnh hồi tố (Thuyết minh số 36) (i),244.071.866.274,(244.071.866.274),244071866274.0,-244071866274.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Trừ: Thu nhập không chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(192.255.051.945),(1.104.917.159.670),-192255051945.0,-1104917159670.0
Cộng: Các khoản chi phí không được khấu trừ,Điều chỉnh cho thu nhập chịu thuế > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,1.755.929.035,3.701.785.028,1755929035.0,3701785028.0
Thu nhập chịu thuế kỳ này,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế kỳ này,Thu nhập chịu thuế kỳ này,441.520.417.454,929.591.367.505,441520417454.0,929591367505.0
Thu nhập được miễn thuế thu nhập doanh,Điều chỉnh cho thu nhập chịu thuế > Thu nhập được miễn thuế thu nhập doanh,Thu nhập được miễn thuế thu nhập doanh,(98.416.068.967),98.416.068.967,-98416068967.0,98416068967.0
Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Điều chỉnh cho thu nhập chịu thuế > Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,Thu nhập được giảm 50% thuế thu nhập doanh nghiệp,456.786.156.742,663.739.721.480,456786156742.0,663739721480.0
Thu nhập chịu thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thu nhập chịu thuế suất thông thường,Thu nhập chịu thuế suất thông thường,83.150.325.682,167.435.577.058,83150325682.0,167435577058.0
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,62.308.680.810,99.861.087.560,62308680810.0,99861087560.0
Điều chỉnh theo biên bản quyết toán thuế 6 tháng đầu năm 2018,Điều chỉnh cho thu nhập chịu thuế > Điều chỉnh theo biên bản quyết toán thuế 6 tháng đầu năm 2018,Điều chỉnh theo biên bản quyết toán thuế 6 tháng đầu năm 2018,(5.254.418),5.254.418,-5254418.0,5254418.0
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế,62.303.426.392,99.866.341.978,62303426392.0,99866341978.0
