row_label_raw,row_label_full,col_0,Võn góp của chủ sở hữu VND,Chênh lệch tỷ giá hõi doái,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Võn góp của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hõi doái,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 01 tháng 01 năm 2018,Số dư tại ngày 01 tháng 01 năm 2018,Số dư tại ngày 01 tháng 01 năm 2018,21.774.301.577.676,-,1.519.447.539.642,63.989.171.059,23.357.738.288.377,21774301577676.0,,1519447539642.0,63989171059.0,23357738288377.0
Điều chính hỏi tố theo Kiểm toán Nhà nước,Điều chính hỏi tố theo Kiểm toán Nhà nước,Điều chính hỏi tố theo Kiểm toán Nhà nước,,,,,,,,,,
Điều chính lợi nhuận năm 2017,Điều chính hỏi tố theo Kiểm toán Nhà nước > Điều chính lợi nhuận năm 2017,Điều chính lợi nhuận năm 2017,-,-,-,22.550.082.289,22.550.082.289,,,,22550082289.0,22550082289.0
Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính hỏi tố theo Kiểm toán Nhà nước > Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,Điều chính phân phối lợi nhuận năm 2017 phải nộp về Tập đoàn,-,-,-,(22.550.082.289),(22.550.082.289),,,,-22550082289.0,-22550082289.0
Số dư tại ngày 01 tháng 01 năm 2018 (Trình bày lại),Điều chính hỏi tố theo Kiểm toán Nhà nước > Số dư tại ngày 01 tháng 01 năm 2018 (Trình bày lại),Số dư tại ngày 01 tháng 01 năm 2018 (Trình bày lại),21.774.301.577.676,-,1.519.447.539.642,63.989.171.059,23.357.738.288.377,21774301577676.0,,1519447539642.0,63989171059.0,23357738288377.0
Lợi nhuận trong kỳ,Điều chính hỏi tố theo Kiểm toán Nhà nước > Lợi nhuận trong kỳ,Lợi nhuận trong kỳ,-,-,-,2.174.961.125.677,2.174.961.125.677,,,,2174961125677.0,2174961125677.0
Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam,Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam,Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam,,,,,,,,,,
Điều chính quỹ đầu tư phát triển năm 2016,Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam > Điều chính quỹ đầu tư phát triển năm 2016,Điều chính quỹ đầu tư phát triển năm 2016,-,-,(273.779.026.580),273.779.026.580,-,,,-273779026580.0,273779026580.0,
"Điều chính quỹ khen thưởng, phúc lợi, quỹ thưởng người quản lý năm 2016","Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam > Điều chính quỹ khen thưởng, phúc lợi, quỹ thưởng người quản lý năm 2016","Điều chính quỹ khen thưởng, phúc lợi, quỹ thưởng người quản lý năm 2016",-,-,-,47.819.133,47.819.133,,,,47819133.0,47819133.0
Điều chính lợi nhuận 2016 phải nộp về Tập đoàn,Điều chính phân phối lợi nhuận năm 2016 theo Nghị quyết phê duyệt của Tập đoàn Dầu khí Việt Nam > Điều chính lợi nhuận 2016 phải nộp về Tập đoàn,Điều chính lợi nhuận 2016 phải nộp về Tập đoàn,-,-,-,(299.397.501.069),(299.397.501.069),,,,-299397501069.0,-299397501069.0
