row_label_raw,row_label_full,col_0,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
,,,VND,VND,,
Bán hàng và cung cấp dịch vụ,Bán hàng và cung cấp dịch vụ,Bán hàng và cung cấp dịch vụ,108.840.897.585,121.876.625.880,108840897585.0,121876625880.0
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,107.580.232.718,120.908.047.562,107580232718.0,120908047562.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,863.006.116,117.453.120,863006116.0,117453120.0
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,328.522.389,-,328522389.0,
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,69.136.362,-,69136362.0,
Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,-,685.106.737,,685106737.0
Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,-,166.018.461,,166018461.0
Mua hàng,Mua hàng,Mua hàng,5.241.612.463.590,5.028.033.456.723,5241612463590.0,5028033456723.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,3.478.976.257.969,3.473.215.987.555,3478976257969.0,3473215987555.0
Công ty Vận chuyển khí Đông Nam Bộ,Công ty Vận chuyển khí Đông Nam Bộ,Công ty Vận chuyển khí Đông Nam Bộ,1.546.986.255.534,1.331.860.264.430,1546986255534.0,1331860264430.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,165.993.767.438,85.354.054.769,165993767438.0,85354054769.0
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,23.349.417.626,45.968.212.603,23349417626.0,45968212603.0
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,10.481.560.451,7.212.385.940,10481560451.0,7212385940.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,9.133.273.577,6.565.770.726,9133273577.0,6565770726.0
Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,4.181.541.350,8.657.419.140,4181541350.0,8657419140.0
Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,Ban Quản lý Dự án Điện lực Dầu khí Vũng Áng - Quảng Trạch,1.546.205.745,-,1546205745.0,
Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,964.183.900,964.183.900,964183900.0,964183900.0
Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,-,68.235.177.660,,68235177660.0
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,2.008.428.771,4.617.955.869,2008428771.0,4617955869.0
Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,2.008.428.771,4.617.955.869,2008428771.0,4617955869.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,82.249.328.638,83.434.349.048,82249328638.0,83434349048.0
Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,82.249.328.638,83.434.349.048,82249328638.0,83434349048.0
Cổ tức,Cổ tức,Cổ tức,153.833.472.000,1.104.917.159.670,153833472000.0,1104917159670.0
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,153.833.472.000,1.075.466.895.360,153833472000.0,1075466895360.0
Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công ty Cổ phần Máy - Thiết bị Dầu khí,-,20.270.264.310,,20270264310.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,-,9.180.000.000,,9180000000.0
Nộp lợi nhuận trong năm,Nộp lợi nhuận trong năm,Nộp lợi nhuận trong năm,-,348.815.229.654,,348815229654.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,-,348.815.229.654,,348815229654.0
Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,Thu nhập của Ban Tổng Giám đốc,8.029.704.037,6.282.489.945,8029704037.0,6282489945.0
