row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,9.354.460.013.691,13.405.766.574.370,,100.0,,9354460013691.0,13405766574370.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,2.911.160.173.601,4.734.957.039.610,,110.0,4.0,2911160173601.0,4734957039610.0
1.,1.,1.,Tiền,111,,111.160.173.601,184.957.039.610,,111.0,,111160173601.0,184957039610.0
2.,2.,2.,Các khoản tương đương tiền,112,,2.800.000.000.000,4.550.000.000.000,,112.0,,2800000000000.0,4550000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,25.000.000.000,25.000.000.000,,120.0,5.0,25000000000.0,25000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,25.000.000.000,25.000.000.000,,123.0,,25000000000.0,25000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,4.936.823.684.879,7.642.249.213.345,,130.0,,4936823684879.0,7642249213345.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,4.415.702.739.671,6.508.304.063.906,,131.0,6.0,4415702739671.0,6508304063906.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,65.459.315.224,60.388.149.581,,132.0,7.0,65459315224.0,60388149581.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,470.457.008.094,1.073.556.999.858,,136.0,8.0,470457008094.0,1073556999858.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(14.795.378.110),-,,137.0,9.0,-14795378110.0,
IV.,IV.,IV.,Hàng tồn kho,140,10,1.332.000.614.701,884.987.036.977,,140.0,10.0,1332000614701.0,884987036977.0
1.,1.,1.,Hàng tồn kho,141,,1.332.000.614.701,884.987.036.977,,141.0,,1332000614701.0,884987036977.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,149.475.540.510,118.573.284.438,,150.0,,149475540510.0,118573284438.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,37.801.617.932,29.735.870.024,,151.0,11.0,37801617932.0,29735870024.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,111.672.922.578,88.836.414.414,,152.0,,111672922578.0,88836414414.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,17,1.000.000,1.000.000,,153.0,17.0,1000000.0,1000000.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,32.888.858.616.631,34.203.419.924.075,,200.0,,32888858616631.0,34203419924075.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,220.303.000,220.303.000,,210.0,,220303000.0,220303000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,220.303.000,220.303.000,,216.0,8.0,220303000.0,220303000.0
II.,II.,II.,Tài sản cố định,220,,26.077.568.066.717,27.369.858.095.506,,220.0,,26077568066717.0,27369858095506.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,26.063.098.268.247,27.357.036.725.037,,221.0,12.0,26063098268247.0,27357036725037.0
,,,- Nguyên giá,222,,46.962.995.709.751,46.947.487.156.056,,222.0,,46962995709751.0,46947487156056.0
,,,- Giá trị hao mòn lũy kế,223,,(20.899.897.441.504),(19.590.450.431.019),,223.0,,-20899897441504.0,-19590450431019.0
2.,2.,2.,Tài sản cố định vô hình,227,13,14.469.798.470,12.821.370.469,,227.0,13.0,14469798470.0,12821370469.0
,,,- Nguyên giá,228,,41.963.908.059,38.342.849.706,,228.0,,41963908059.0,38342849706.0
,,,- Giá trị hao mòn lũy kế,229,,(27.494.109.589),(25.521.479.237),,229.0,,-27494109589.0,-25521479237.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,183.335.425.259,166.875.503.857,,240.0,,183335425259.0,166875503857.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,183.335.425.259,166.875.503.857,,242.0,14.0,183335425259.0,166875503857.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,5.811.294.677.926,5.831.683.967.597,,250.0,5.0,5811294677926.0,5831683967597.0
1.,1.,1.,Đầu tư vào công ty con,251,,5.097.328.910.097,5.097.328.910.097,,251.0,,5097328910097.0,5097328910097.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,335.182.801.000,335.182.801.000,,252.0,,335182801000.0,335182801000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,399.172.256.500,399.172.256.500,,253.0,,399172256500.0,399172256500.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(20.389.289.671),-,,254.0,,-20389289671.0,
V.,V.,V.,Tài sản dài hạn khác,260,,816.440.143.729,834.782.054.115,,260.0,,816440143729.0,834782054115.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,185.165.610.061,174.402.865.609,,261.0,11.0,185165610061.0,174402865609.0
2.,2.,2.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,15,631.274.533.668,660.379.188.506,,263.0,15.0,631274533668.0,660379188506.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,42.243.318.630.322,47.609.186.498.445,,270.0,,42243318630322.0,47609186498445.0
