row_label_raw,row_label_full,col_0,01/7/2018,Số phải nộp/thu trong kỳ,Số đã thực nộp/thu trong kỳ,31/12/2018,numeric__01/7/2018,numeric__Số phải nộp/thu trong kỳ,numeric__Số đã thực nộp/thu trong kỳ,numeric__31/12/2018
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,1.000.000,-,-,1.000.000,1000000.0,,,1000000.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,1.000.000,-,-,1.000.000,1000000.0,,,1000000.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,26.098.584.190,251.435.953.212,269.416.868.215,8.117.669.187,26098584190.0,251435953212.0,269416868215.0,8117669187.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,12.850.679.230,12.850.679.230,-,,12850679230.0,12850679230.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.146.580.848,62.303.426.392,42.191.225.457,63.258.781.783,43146580848.0,62303426392.0,42191225457.0,63258781783.0
Thuế thu nhập cá,b. Các khoản phải trả > Thuế thu nhập cá,Thuế thu nhập cá,6.664.367.614,16.303.755.045,14.209.032.941,8.759.089.718,6664367614.0,16303755045.0,14209032941.0,8759089718.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,6.069.499.646,29.459.194.831,27.765.722.672,7.762.971.805,6069499646.0,29459194831.0,27765722672.0,7762971805.0
,,,81.979.032.298,372.353.008.710,366.433.528.515,87.898.512.493,81979032298.0,372353008710.0,366433528515.0,87898512493.0
