row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Từ ngày 01/7/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại),numeric__Mã số,numeric__Từ ngày 01/7/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 30/6/2018(Trình bày lại)
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,2.679.989.673.343,3.175.660.313.857,33.0,2679989673343.0,3175660313857.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(7.605.805.569.167),(2.108.903.124.147),34.0,-7605805569167.0,-2108903124147.0
"3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","3. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,-,(348.815.229.654),36.0,,-348815229654.0
Lưu chuyển tiền thuần từ hoạt độngtài chính,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt độngtài chính,Lưu chuyển tiền thuần từ hoạt độngtài chính,40,(4.925.815.895.824),717.941.960.056,40.0,-4925815895824.0,717941960056.0
Lưu chuyển tiền thuần trong kỳ(50=20+30+40),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong kỳ(50=20+30+40),Lưu chuyển tiền thuần trong kỳ(50=20+30+40),50,(1.823.796.303.729),2.894.993.132.665,50.0,-1823796303729.0,2894993132665.0
Tiền và tương đương tiền đầu kỳ,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,4.734.957.039.610,1.839.963.319.191,60.0,4734957039610.0,1839963319191.0
Ảnh hưởng của thay đổi tỷ giá hồi đoáiquy đổi ngoại tệ,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hồi đoáiquy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hồi đoáiquy đổi ngoại tệ,61,(562.280),587.754,61.0,-562280.0,587754.0
Tiền và tương đương tiền cuối kỳ(70=50+60+61),III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ(70=50+60+61),Tiền và tương đương tiền cuối kỳ(70=50+60+61),70,2.911.160.173.601,4.734.957.039.610,70.0,2911160173601.0,4734957039610.0
