row_label_raw,row_label_full,Giá trị các khoản phải thu quá hạn thanh toán,31/12/2018 > Giá gốc > Giá trị các khoản phải thu quá hạn thanh toán,31/12/2018 > VND Giá trị có thể thu hồi > Giá trị các khoản phải thu quá hạn thanh toán,01/7/2018 > VND Giá gốc (i) > Giá trị các khoản phải thu quá hạn thanh toán,numeric__31/12/2018 > Giá gốc > Giá trị các khoản phải thu quá hạn thanh toán,numeric__31/12/2018 > VND Giá trị có thể thu hồi > Giá trị các khoản phải thu quá hạn thanh toán,numeric__01/7/2018 > VND Giá gốc (i) > Giá trị các khoản phải thu quá hạn thanh toán
Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,Công ty Cổ phần Tư vấn Dự án Điện lực Dầu khí,8.179.082.781,312.655.746,8.179.082.781,8179082781.0,312655746.0,8179082781.0
Công ty Mua bán Điện,Công ty Mua bán Điện,Công ty Mua bán Điện,10.615.012.421,5.307.506.210,10.615.012.421,10615012421.0,5307506210.0,10615012421.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.639.944.864,18.500.000,1.602.944.863,1639944864.0,18500000.0,1602944863.0
,,,20.434.040.066,5.638.661.956,20.397.040.065,20434040066.0,5638661956.0,20397040065.0
