row_label_raw,row_label_full,Cổ đông,Theo Giấy chứng nhận đăng ký doanh nghiệp,Theo Giấy chứng nhận đăng ký doanh nghiệp_1,Vốn đã góp tại ngày 31/12/2018,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp_1,numeric__Vốn đã góp tại ngày 31/12/2018
Cổ đông,Cổ đông,Cổ đông,VND,%,VND,,,
Tập đoàn Dầu khí Việt Nam,Cổ đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,18.721.414.770.000,"79,94%",18.721.414.770.000,18721414770000.0,0.7994,18721414770000.0
Các cổ đông khác,Cổ đông > Các cổ đông khác,Các cổ đông khác,4.697.301.230.000,"20,06%",4.697.301.230.000,4697301230000.0,0.2006,4697301230000.0
,,,23.418.716.000.000,100%,23.418.716.000.000,23418716000000.0,1.0,23418716000000.0
