row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Từ ngày 01/7/2018 đến ngày 31/12/2018,Từ ngày 01/01/2018 đến ngày 30/6/2018 (Trình bày lai),numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Từ ngày 01/7/2018 đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018 đến ngày 30/6/2018 (Trình bày lai)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,9.989.470.137.052,12.660.020.827.367,,1.0,25.0,9989470137052.0,12660020827367.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,9.989.470.137.052,12.660.020.827.367,,10.0,,9989470137052.0,12660020827367.0
4.,4.,4.,Giá vốn hàng bán,11,26,8.983.281.741.694,10.913.927.547.848,,11.0,26.0,8983281741694.0,10913927547848.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.006.188.395.358,1.746.093.279.519,,20.0,,1006188395358.0,1746093279519.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,342.066.667.020,1.209.938.798.795,,21.0,28.0,342066667020.0,1209938798795.0
7.,7.,7.,Chỉ phí tài chính,22,29,713.295.704.625,430.675.378.225,,22.0,29.0,713295704625.0,430675378225.0
,,,- Trong đó: Chi phí lãi vay,23,,446.604.436.239,438.548.158.973,,23.0,,446604436239.0,438548158973.0
8.,8.,8.,Chỉ phí quản lý doanh nghiệp,26,30,248.038.935.465,258.258.348.615,,26.0,30.0,248038935465.0,258258348615.0
9.,9.,9.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,386.920.422.288,2.267.098.351.474,,30.0,,386920422288.0,2267098351474.0
10.,10.,10.,Thu nhập khác,31,,4.892.482.385,11.489.846.405,,31.0,,4892482385.0,11489846405.0
11.,11.,11.,Chỉ phí khác,32,,3.865.230.583,3.709.589.458,,32.0,,3865230583.0,3709589458.0
12.,12.,12.,Lợi nhuận khác (40=31-32),40,,1.027.251.802,7.780.256.947,,40.0,,1027251802.0,7780256947.0
13.,13.,13.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,387.947.674.090,2.274.878.608.421,,50.0,,387947674090.0,2274878608421.0
14.,14.,14.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,31,62.303.426.392,99.917.482.744,,51.0,31.0,62303426392.0,99917482744.0
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,325.644.247.698,2.174.961.125.677,,60.0,,325644247698.0,2174961125677.0
