row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2018,01/7/2018,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018,numeric__01/7/2018
C.,C.,C.,NỘ PHẢI TRÀ,300,,18.511.598.509.419,24.276.329.651.950,,300.0,,18511598509419.0,24276329651950.0
I.,I.,I.,Nợ ngắn hạn,310,,10.198.883.358.828,14.230.995.938.392,,310.0,,10198883358828.0,14230995938392.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,2.623.794.423.176,3.262.953.290.380,,311.0,16.0,2623794423176.0,3262953290380.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,1.709.635.299,1.709.615.000,,312.0,,1709635299.0,1709615000.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,87.898.512.493,81.979.032.298,,313.0,17.0,87898512493.0,81979032298.0
4.,4.,4.,Phải trả người lao động,314,,68.683.352.737,64.680.119.724,,314.0,,68683352737.0,64680119724.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,870.053.219.515,901.823.833.116,,315.0,18.0,870053219515.0,901823833116.0
6.,6.,6.,Phải trả ngắn hạn khác,319,19,2.238.378.000.548,2.197.029.810.149,,319.0,19.0,2238378000548.0,2197029810149.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,20,4.089.424.870.586,7.061.811.397.365,,320.0,20.0,4089424870586.0,7061811397365.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,21,143.181.837.310,556.920.689.041,,321.0,21.0,143181837310.0,556920689041.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,75.759.507.164,102.088.151.319,,322.0,,75759507164.0,102088151319.0
II.,II.,II.,Nợ dài hạn,330,,8.312.715.150.591,10.045.333.713.558,,330.0,,8312715150591.0,10045333713558.0
1.,1.,1.,Phải trả dài hạn khác,337,,18.500.000,18.500.000,,337.0,,18500000.0,18500000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,20,7.932.370.025.178,9.791.010.349.696,,338.0,20.0,7932370025178.0,9791010349696.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,21,251.593.468.605,125.571.707.054,,342.0,21.0,251593468605.0,125571707054.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,22,128.733.156.808,128.733.156.808,,343.0,22.0,128733156808.0,128733156808.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,23.731.720.120.903,23.332.856.846.495,,400.0,,23731720120903.0,23332856846495.0
I.,I.,I.,Vốn chủ sở hữu,410,23,23.731.720.120.903,23.332.856.846.495,,410.0,23.0,23731720120903.0,23332856846495.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
2.,2.,2.,Chênh lệch tỷ giá hối đoái,417,,-,(85.859.153.505),,417.0,,,-85859153505.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,91.353.654.181,-,,418.0,,91353654181.0,
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,221.650.466.722,-,,421.0,,221650466722.0,
,,,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,221.650.466.722,-,,,,221650466722.0,
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,42.243.318.630.322,47.609.186.498.445,,440.0,,42243318630322.0,47609186498445.0
,,,,,,TỔNG CÔNG TY DIÊN LỰC DẦU KHÍ VIỆT A M - CTCP,TỔNG CÔNG TY DIÊN LỰC DẦU KHÍ VIỆT A M - CTCP,,,,,
Nguyễn Thị Hồng Hạnh Người lập,Nguyễn Thị Hồng Hạnh Người lập,Nguyễn Thị Hồng Hạnh Người lập,Nguyễn Thị Hồng Hạnh Người lập,Hà Thị Minh Nguyệt Kế toán trưởng,Hà Thị Minh Nguyệt Kế toán trưởng,Lê Như Linh Tổng Giám đốc,Lê Như Linh Tổng Giám đốc,,,,,
