row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Giá trị chuyển giao công nghệ MDF,Chương trình phần mềm,Cộng,numeric__Quyền sử dụng đất,numeric__Giá trị chuyển giao công nghệ MDF,numeric__Chương trình phần mềm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,26.146.274.874,20.119.251.983,136.000.000,46.401.526.857,26146274874.0,20119251983.0,136000000.0,46401526857.0
- Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,Nguyên giá > - Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,- Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,559.239.000,-,-,559.239.000,559239000.0,,,559239000.0
- Tăng theo Biên Bản xác định GTDN,Nguyên giá > - Tăng theo Biên Bản xác định GTDN,- Tăng theo Biên Bản xác định GTDN,1.362.546.000,-,-,1.362.546.000,1362546000.0,,,1362546000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(66.000.000),(66.000.000),,,-66000000.0,-66000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.068.059.874,20.119.251.983,70.000.000,48.257.311.857,28068059874.0,20119251983.0,70000000.0,48257311857.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.853.265.603,15.927.741.135,126.666.666,18.907.673.404,2853265603.0,15927741135.0,126666666.0,18907673404.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,529.783.183,1.341.283.464,4.666.664,1.875.733.311,529783183.0,1341283464.0,4666664.0,1875733311.0
- Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,Giá trị hao mòn lũy kế > - Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,- Tăng do tiếp nhận Công ty TNHH MTV Lâm nghiệp Đình Lập,131.964.420,-,-,131.964.420,131964420.0,,,131964420.0
- Số giảm trong năm,Giá trị hao mòn lũy kế > - Số giảm trong năm,- Số giảm trong năm,(112.457.793),-,(66.000.000),(178.457.793),-112457793.0,,-66000000.0,-178457793.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(66.000.000),(66.000.000),,,-66000000.0,-66000000.0
- Giảm theo Biên Bản xác định GTDN,Giá trị hao mòn lũy kế > - Giảm theo Biên Bản xác định GTDN,- Giảm theo Biên Bản xác định GTDN,(112.457.793),-,-,(112.457.793),-112457793.0,,,-112457793.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.402.555.413,17.269.024.599,65.333.330,20.736.913.342,3402555413.0,17269024599.0,65333330.0,20736913342.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,23.293.009.271,4.191.510.848,9.333.334,27.493.853.453,23293009271.0,4191510848.0,9333334.0,27493853453.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,24.665.504.461,2.850.227.384,4.666.670,27.520.398.515,24665504461.0,2850227384.0,4666670.0,27520398515.0
