row_label_raw,row_label_full,Tên công ty,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty CP 19/5 Đoan Hùng,- Công ty CP 19/5 Đoan Hùng,- Công ty CP 19/5 Đoan Hùng,Tỉnh Phú Thọ,"49,01%","49,01%","Khai thác, kinh doanh, chế biến gỗ và lâm sản",,0.4901,0.4901,
- Công ty CP Cơ khí Lâm nghiệp Sài Gòn,- Công ty CP Cơ khí Lâm nghiệp Sài Gòn,- Công ty CP Cơ khí Lâm nghiệp Sài Gòn,TP. Hồ Chí Minh,"31,07%","31,07%","Sản xuất, kinh doanh thiết bị phục vụ sản xuất gỗ",,0.3107,0.3107,
- Công ty CP Cơ Đỏ,- Công ty CP Cơ Đỏ,- Công ty CP Cơ Đỏ,TP. Hà Nội,"45,78%","45,78%","Công nghiệp chế tạo, sửa chữa thiết bị, máy móc cho lâm nghiệp",,0.4578,0.4578,
- Công ty CP Formach (i),- Công ty CP Formach (i),- Công ty CP Formach (i),TP. Hà Nội,"27,78%","27,78%","Chế tạo máy gia công gỗ, chế biến gỗ",,0.2778,0.2778,
- Công ty CP Gỗ lạng Buôn Ma Thuột,- Công ty CP Gỗ lạng Buôn Ma Thuột,- Công ty CP Gỗ lạng Buôn Ma Thuột,Tỉnh Đắk Lắk,"30,00%","30,00%","Khai thác và sơ chế gỗ, chế biến lâm sản",,0.3,0.3,
- Công ty CP Kon Hà Nùng,- Công ty CP Kon Hà Nùng,- Công ty CP Kon Hà Nùng,Tỉnh Gia Lai,"30,00%","30,00%","Trồng rừng, chế biến gỗ",,0.3,0.3,
- Công ty CP Lâm đặc sản Mây tre xuất khẩu,- Công ty CP Lâm đặc sản Mây tre xuất khẩu,- Công ty CP Lâm đặc sản Mây tre xuất khẩu,TP. Hà Nội,"35,00%","35,00%",Chế biến gỗ và lâm sản,,0.35,0.35,
- Công ty CP Lâm nghiệp 19,- Công ty CP Lâm nghiệp 19,- Công ty CP Lâm nghiệp 19,Tỉnh Bình Định,"30,00%","30,00%",Chế biến gỗ,,0.3,0.3,
- Công ty CP Lâm nghiệp Miền Đông,- Công ty CP Lâm nghiệp Miền Đông,- Công ty CP Lâm nghiệp Miền Đông,TP. Hồ Chí Minh,"30,00%","30,00%","Sản xuất, mua bán nông lâm sản",,0.3,0.3,
- Công ty CP Lâm sản Forprodex,- Công ty CP Lâm sản Forprodex,- Công ty CP Lâm sản Forprodex,TP. Hà Nội,"27,25%","27,25%","Kinh doanh nông lâm hải sản, chế biến gỗ",,0.2725,0.2725,
- Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,- Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,- Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,TP. Hà Nội,"30,00%","30,00%","Khai thác, sản xuất, chế biến, mua bán và xuất nhập khẩu nông sản, lâm sản",,0.3,0.3,
- Công ty CP Thương mại Lâm sản Hà Nội,- Công ty CP Thương mại Lâm sản Hà Nội,- Công ty CP Thương mại Lâm sản Hà Nội,TP. Hà Nội,"30,00%","30,00%","Kinh doanh nông, lâm, hải sản",,0.3,0.3,
- Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,- Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,- Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,TP. Hồ Chí Minh,"30,00%","30,00%",Chế biến gỗ và lâm sản,,0.3,0.3,
- Công ty CP Xây lắp Đầu tư Phát triển Nồng lâm nghiệp Việt Nam,- Công ty CP Xây lắp Đầu tư Phát triển Nồng lâm nghiệp Việt Nam,- Công ty CP Xây lắp Đầu tư Phát triển Nồng lâm nghiệp Việt Nam,TP. Hà Nội,"20,00%","20,00%","Xây dựng, chế biến kinh doanh nông lâm sản",,0.2,0.2,
- Công ty CP Giống Lâm nghiệp Trung ƯƠng,- Công ty CP Giống Lâm nghiệp Trung ƯƠng,- Công ty CP Giống Lâm nghiệp Trung ƯƠng,TP. Hà Nội,"48,10%","48,10%",Sản xuất và kinh doanh các loại giống cây trồng,,0.48100000000000004,0.48100000000000004,
- Công ty CP Thương mại Công nghiệp và Chế biến gỗ,- Công ty CP Thương mại Công nghiệp và Chế biến gỗ,- Công ty CP Thương mại Công nghiệp và Chế biến gỗ,TP. Hà Nội,"29,69%","29,69%",Sản xuất các loại ván nhân tạo,,0.2969,0.2969,
