row_label_raw,row_label_full,- Công ty CP Giống Lâm nghiệp vùng Bắc Bộ,Tỉnh Phú Thọ,"79,86%","79,86%_1","Sản xuất, cung ứng các loại hạt giống, cây giống",numeric__Tỉnh Phú Thọ,"numeric__79,86%","numeric__79,86%_1","numeric__Sản xuất, cung ứng các loại hạt giống, cây giống"
- Công ty CP Giống Lâm nghiệp vùng Nam Bộ,- Công ty CP Giống Lâm nghiệp vùng Nam Bộ,- Công ty CP Giống Lâm nghiệp vùng Nam Bộ,TP Hồ Chí Minh,"51,00%","51,00%","Sản xuất, cung ứng các loại hạt giống, cây giống",,0.51,0.51,
- Công ty CP Giống Lâm nghiệp vùng Nam Trung Bộ,- Công ty CP Giống Lâm nghiệp vùng Nam Trung Bộ,- Công ty CP Giống Lâm nghiệp vùng Nam Trung Bộ,Tỉnh Bình Định,"51,84%","51,84%","Sản xuất, cung ứng các loại hạt giống, cây giống",,0.5184000000000001,0.5184000000000001,
- Công ty CP Long Bình,- Công ty CP Long Bình,- Công ty CP Long Bình,Tỉnh Đồng Nai,"61,89%","61,89%",Công nghiệp chế biến gỗ và lâm sản;,,0.6189,0.6189,
- Công ty CP Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,- Công ty CP Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,- Công ty CP Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Tỉnh Hà Tĩnh,"85,00%","85,00%","Thu mua, khai thác, chế biến lâm sản xuất khẩu và tiêu thụ nội địa;",,0.85,0.85,
- Công ty CP Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,- Công ty CP Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,- Công ty CP Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,TP Hồ Chí Minh,"51,69%","51,69%",Sản xuất sản phẩm khác từ gỗ,,0.5169,0.5169,
- Công ty CP Vinafor Đà Nẵng,- Công ty CP Vinafor Đà Nẵng,- Công ty CP Vinafor Đà Nẵng,TP Đà Nẵng,"51,01%","51,01%","Bán buôn nông, lâm sản nguyên liệu",,0.5101,0.5101,
- Công ty CP Giống Lâm nghiệp vùng Bắc Trung Bộ,- Công ty CP Giống Lâm nghiệp vùng Bắc Trung Bộ,- Công ty CP Giống Lâm nghiệp vùng Bắc Trung Bộ,Tỉnh Quảng Bình,"73,04%","73,04%","Sản xuất, cung ứng các loại hạt giống, cây giống",,0.7304,0.7304,
- Công ty CP Giống Lâm nghiệp vùng Tây Nguyên,- Công ty CP Giống Lâm nghiệp vùng Tây Nguyên,- Công ty CP Giống Lâm nghiệp vùng Tây Nguyên,Tỉnh Lâm Đồng,"51,00%","51,00%","Sản xuất, cung ứng các loại hạt giống, cây giống",,0.51,0.51,
- Công ty CP Giống Lâm nghiệp vùng Đông Bắc,- Công ty CP Giống Lâm nghiệp vùng Đông Bắc,- Công ty CP Giống Lâm nghiệp vùng Đông Bắc,Tỉnh Lạng Sơn.,"67,69%","67,69%","Sản xuất, cung ứng các loại hạt giống, cây giống.",,0.6769,0.6769,
- Công ty CP Vinafor Vinh,- Công ty CP Vinafor Vinh,- Công ty CP Vinafor Vinh,Tỉnh Nghệ An,"63,21%","63,21%","Chế biến gỗ, lâm sản",,0.6321,0.6321,
- Công ty CP Vinafor Tây Nguyên (i),- Công ty CP Vinafor Tây Nguyên (i),- Công ty CP Vinafor Tây Nguyên (i),Tỉnh Đắk Lắk,"68,58%","68,58%","Xây dựng công trình dân dụng, công nghiệp",,0.6858,0.6858,
- Công ty TNHH MTV Lâm nghiệp Lộc Bình,- Công ty TNHH MTV Lâm nghiệp Lộc Bình,- Công ty TNHH MTV Lâm nghiệp Lộc Bình,Tỉnh Lạng Sơn,"100,00%","100,00%",Trồng rừng; khai thác rừng trồng,,1.0,1.0,
- Công ty TNHH MTV Lâm nghiệp Đình Lập,- Công ty TNHH MTV Lâm nghiệp Đình Lập,- Công ty TNHH MTV Lâm nghiệp Đình Lập,Tỉnh Lạng Sơn,"100,00%","100,00%",Trồng rừng; khai thác rừng trồng,,1.0,1.0,
