row_label_raw,row_label_full,- Công ty TNHH Vinafor Tân An Hòa Bình,Tỉnh Hòa Bình,"49,00%","49,00%_1",Sản xuất ván nhân tạo,numeric__Tỉnh Hòa Bình,"numeric__49,00%","numeric__49,00%_1",numeric__Sản xuất ván nhân tạo
- Công ty LD Nuôi và Phát triển khí VN,- Công ty LD Nuôi và Phát triển khí VN,- Công ty LD Nuôi và Phát triển khí VN,Tỉnh Đồng Nai,"40,00%","40,00%",Chăn nuôi và xuất khẩu khi,,0.4,0.4,
- Công ty TNHH SX Nguyên liệu giấy Việt Nhật (ii),- Công ty TNHH SX Nguyên liệu giấy Việt Nhật (ii),- Công ty TNHH SX Nguyên liệu giấy Việt Nhật (ii),TP. Đà Nẵng,"17,15%","17,15%",Sản xuất nguyên liệu giấy,,0.17149999999999999,0.17149999999999999,
- Công ty TNHH Lâm nghiệp Cao Bằng,- Công ty TNHH Lâm nghiệp Cao Bằng,- Công ty TNHH Lâm nghiệp Cao Bằng,Tỉnh Cao Bằng,"27,95%","27,95%","Xây dựng, quản lý và kinh doanh rừng nguyên liệu, chế biến lâm sản",,0.27949999999999997,0.27949999999999997,
- Công ty TNHH Nguyên liệu giấy Quy Nhon,- Công ty TNHH Nguyên liệu giấy Quy Nhon,- Công ty TNHH Nguyên liệu giấy Quy Nhon,Tỉnh Bình Định,"22,00%","22,00%","Sản xuất nguyên liệu giấy, chế biến gỗ",,0.22,0.22,
- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Tỉnh Quảng Ninh,"49,00%","49,00%",Trồng rừng nguyên liệu và sản xuất nguyên liệu giấy,,0.49,0.49,
- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,- Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Tỉnh Hà Tĩnh,"40,00%","40,00%",Sản xuất nguyên liệu giấy,,0.4,0.4,
- Công ty TNHH Việt Thành Thái,- Công ty TNHH Việt Thành Thái,- Công ty TNHH Việt Thành Thái,TP. Hồ Chí Minh,"35,00%","35,00%",Kinh doanh tổng hợp,,0.35,0.35,
- Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,- Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,- Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,Tỉnh Bắc Giang,"40,00%","40,00%","Sản xuất, chế biến gỗ",,0.4,0.4,
- Công ty TNHH YAMAHA MOTOR Việt Nam,- Công ty TNHH YAMAHA MOTOR Việt Nam,- Công ty TNHH YAMAHA MOTOR Việt Nam,TP. Hà Nội,"30,00%","30,00%",Sản xuất và kinh doanh xe máy,,0.3,0.3,
- Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,- Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,- Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Tỉnh Quảng Ngãi,"49,00%","49,00%",Sản xuất và chế biến các SP từ gỗ và đảm gỗ,,0.49,0.49,
