row_label_raw,row_label_full,Công ty CP Lâm sảnQuảng Trị (3),Tỉnh Quảng Trị,"12,37%",24%,2.670.053.881,Tỉnh Quảng Trị_1,"12,37%_1",24%_1,2.670.053.881_1,numeric__Tỉnh Quảng Trị,"numeric__12,37%",numeric__24%,numeric__2.670.053.881,numeric__Tỉnh Quảng Trị_1,"numeric__12,37%_1",numeric__24%_1,numeric__2.670.053.881_1
Công ty CP Nguyên liệugiấy và gỗ Tân Thành (3),Công ty CP Nguyên liệugiấy và gỗ Tân Thành (3),Công ty CP Nguyên liệugiấy và gỗ Tân Thành (3),Tỉnh Bà Rịa -Vũng Tàu,"15,56%","30,10%",3.430.164.592,Tỉnh Bà Rịa -Vũng Tàu,"15,56%",30%,3.379.489.550,,0.15560000000000002,0.301,3430164592.0,,0.15560000000000002,0.3,3379489550.0
Công ty CP Vinafor CầnThơ (4),Công ty CP Vinafor CầnThơ (4),Công ty CP Vinafor CầnThơ (4),,"0,00%","0,00%",-,TP. Cần Thơ,"36,00%","36,00%",2.668.598.982,,0.0,0.0,,,0.36,0.36,2668598982.0
Công ty CP Vinafor QuảngTrị (5),Công ty CP Vinafor QuảngTrị (5),Công ty CP Vinafor QuảngTrị (5),,"0,00%","0,00%",-,Tỉnh Quảng Trị,"21,00%","21,00%",1.390.877.890,,0.0,0.0,,,0.21,0.21,1390877890.0
Công ty TNHH Lâm sảnViệt Nam - Newzealand (6),Công ty TNHH Lâm sảnViệt Nam - Newzealand (6),Công ty TNHH Lâm sảnViệt Nam - Newzealand (6),,"0,00%","0,00%",-,Tỉnh Bắc Giang,"40,00%","40,00%",3.442.620.000,,0.0,0.0,,,0.4,0.4,3442620000.0
