row_label_raw,row_label_full,col_0,Nội dung,Mối quan hệ,Năm 2015 > VND,Năm 2014 > VND,numeric__Nội dung,numeric__Mối quan hệ,numeric__Năm 2015 > VND,numeric__Năm 2014 > VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Doanh thu > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Bán gỗ,Công ty liên kết,325.081.565.162,236.352.265.276,,,325081565162.0,236352265276.0
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Doanh thu > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Bán gỗ,Công ty liên kết,233.039.497.971,226.926.303.878,,,233039497971.0,226926303878.0
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Doanh thu > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Bán gỗ,Công ty liên kết,-,1.546.836.638,,,,1546836638.0
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Doanh thu > Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Bán gỗ,Công ty liên kết,57.034.773.678,645.454.545,,,57034773678.0,645454545.0
Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,Doanh thu > Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,Công ty TNHH Ván dán OJI - Vinafor Bắc Giang,Bán gỗ,Công ty liên kết,27.969.718.751,-,,,27969718751.0,
Công ty TNHH YAMAHA MOTOR Việt Nam,Doanh thu > Công ty TNHH YAMAHA MOTOR Việt Nam,Công ty TNHH YAMAHA MOTOR Việt Nam,Phí dịch vụ,Công ty liên kết,7.037.574.762,7.233.670.215,,,7037574762.0,7233670215.0
Mua hàng,Mua hàng,Mua hàng,Mua hàng,Mua hàng,Mua hàng,Mua hàng,,,,
Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Mua hàng > Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Phí lưu kho,Công ty liên kết,25.590.968.207,23.100.790.909,,,25590968207.0,23100790909.0
Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Mua hàng > Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Công ty CP Xuất nhập khẩu Lâm nông sản Sài Gòn,Phí lưu kho,Công ty liên kết,32.727.273,-,,,32727273.0,
Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,Mua hàng > Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,Công ty CP Sản xuất & XNK Lâm sản Naforimex Hà Nội,Mua gỗ NL,Công ty liên kết,25.558.240.935,23.100.790.909,,,25558240935.0,23100790909.0
