row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Giá trị ghi sở,Địa chỉ_1,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết_1,Giá trị ghi sở_1,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Giá trị ghi sở,numeric__Địa chỉ_1,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết_1,numeric__Giá trị ghi sở_1
,,,,VND,VND,VND,,VND,VND,VND,,,,,,,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,,,,,,,
- Công ty CP 19/5 Đoàn Hùng,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP 19/5 Đoàn Hùng",- Công ty CP 19/5 Đoàn Hùng,Tỉnh Phú Thọ,"49,01%","49,01%",2.458.761.635,Tỉnh Phú Thọ,"49,01%","49,01%",2.331.338.080,,0.4901,0.4901,2458761635.0,,0.4901,0.4901,2331338080.0
- Công ty CP Cơ khí Lâm nghiệp Sài Gòn,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Cơ khí Lâm nghiệp Sài Gòn",- Công ty CP Cơ khí Lâm nghiệp Sài Gòn,TP. Hồ Chí Minh,"31,07%","31,07%",3.389.255.592,TP. Hồ Chí Minh,"31,07%","31,07%",3.723.543.355,,0.3107,0.3107,3389255592.0,,0.3107,0.3107,3723543355.0
- Công ty CP Cơ Đỏ,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Cơ Đỏ",- Công ty CP Cơ Đỏ,TP. Hà Nội,"45,78%","45,78%",11.806.878.544,TP. Hà Nội,"45,78%","45,78%",11.882.180.952,,0.4578,0.4578,11806878544.0,,0.4578,0.4578,11882180952.0
- Công ty CP Formach (1),"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Formach (1)",- Công ty CP Formach (1),TP. Hà Nội,"27,78%","27,78%",3.624.100.000,TP. Hà Nội,"27,78%","27,78%",-,,0.2778,0.2778,3624100000.0,,0.2778,0.2778,
- Công ty CP Gỗ lạng Buôn Ma Thuột,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Gỗ lạng Buôn Ma Thuột",- Công ty CP Gỗ lạng Buôn Ma Thuột,Tỉnh Đắk Lắk,"30,00%","30,00%",2.799.771.753,Tỉnh Đắk Lắk,"30,00%","30,00%",2.756.115.191,,0.3,0.3,2799771753.0,,0.3,0.3,2756115191.0
- Công ty CP Kon Hà Nùng,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Kon Hà Nùng",- Công ty CP Kon Hà Nùng,Tỉnh Gia Lai,"30,00%","30,00%",2.521.917.957,Tỉnh Gia Lai,"30,00%","30,00%",4.238.547.579,,0.3,0.3,2521917957.0,,0.3,0.3,4238547579.0
- Công ty CP Lâm đặc sản Mây tre xuất khẩu,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Lâm đặc sản Mây tre xuất khẩu",- Công ty CP Lâm đặc sản Mây tre xuất khẩu,TP. Hà Nội,"35,00%","35,00%",1.182.955.843,TP. Hà Nội,"35,00%","35,00%",1.172.435.549,,0.35,0.35,1182955843.0,,0.35,0.35,1172435549.0
- Công ty CP Lâm nghiệp 19,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Lâm nghiệp 19",- Công ty CP Lâm nghiệp 19,Tỉnh Bình Định,"30,00%","30,00%",9.286.660.059,Tỉnh Bình Định,"30,00%","30,00%",8.312.676.185,,0.3,0.3,9286660059.0,,0.3,0.3,8312676185.0
- Công ty CP Lâm nghiệp Miền Đông,"Đầu tư vào công ty liên doanh, liên kết > - Công ty CP Lâm nghiệp Miền Đông",- Công ty CP Lâm nghiệp Miền Đông,TP. Hồ Chí Minh,"30,00%","30,00%",4.819.263.152,TP. Hồ Chí Minh,"30,00%","30,00%",4.631.636.837,,0.3,0.3,4819263152.0,,0.3,0.3,4631636837.0
