row_label_raw,row_label_full,- Vay dài hạn,125.122.341.140,125.122.341.140_1,11.846.402.400,38.834.379.391,98.134.364.149,98.134.364.149_1,numeric__125.122.341.140,numeric__125.122.341.140_1,numeric__11.846.402.400,numeric__38.834.379.391,numeric__98.134.364.149,numeric__98.134.364.149_1
Ngân hàng Phát triển Gia Lai (1),Ngân hàng Phát triển Gia Lai (1),Ngân hàng Phát triển Gia Lai (1),82.700.000.000,82.700.000.000,-,26.000.000.000,56.700.000.000,56.700.000.000,82700000000.0,82700000000.0,,26000000000.0,56700000000.0,56700000000.0
Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),19.217.815.658,19.217.815.658,360.000.000,2.238.617.051,17.339.198.607,17.339.198.607,19217815658.0,19217815658.0,360000000.0,2238617051.0,17339198607.0,17339198607.0
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật - Cái Lân (3),Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật - Cái Lân (3),Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật - Cái Lân (3),2.132.509.103,2.132.509.103,110.648.150,1.336.616.871,906.540.382,906.540.382,2132509103.0,2132509103.0,110648150.0,1336616871.0,906540382.0,906540382.0
Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),5.570.000.000,5.570.000.000,-,3.220.000.000,2.350.000.000,2.350.000.000,5570000000.0,5570000000.0,,3220000000.0,2350000000.0,2350000000.0
Ngân hàng TMCP Ngoại Thương Việt Nam - CN TP. HCM (5),Ngân hàng TMCP Ngoại Thương Việt Nam - CN TP. HCM (5),Ngân hàng TMCP Ngoại Thương Việt Nam - CN TP. HCM (5),-,-,452.018.250,62.960.000,389.058.250,389.058.250,,,452018250.0,62960000.0,389058250.0,389058250.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),-,-,7.200.000.000,420.000.000,6.780.000.000,6.780.000.000,,,7200000000.0,420000000.0,6780000000.0,6780000000.0
Chi Cục Phát triển Lâm nghiệp Lạng Sơn,Chi Cục Phát triển Lâm nghiệp Lạng Sơn,Chi Cục Phát triển Lâm nghiệp Lạng Sơn,-,-,149.451.500,-,149.451.500,149.451.500,,,149451500.0,,149451500.0,149451500.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Đình Lập (7),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Đình Lập (7),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Đình Lập (7),-,-,2.904.000.000,-,2.904.000.000,2.904.000.000,,,2904000000.0,,2904000000.0,2904000000.0
Quỹ Dự án nguyên liệu giấy,Quỹ Dự án nguyên liệu giấy,Quỹ Dự án nguyên liệu giấy,-,-,320.284.500,-,320.284.500,320.284.500,,,320284500.0,,320284500.0,320284500.0
Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà Tĩnh (8),Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà Tĩnh (8),Ngân hàng TMCP Ngoại thương Việt Nam - CN Hà Tĩnh (8),11.852.016.379,11.852.016.379,-,5.556.185.469,6.295.830.910,6.295.830.910,11852016379.0,11852016379.0,,5556185469.0,6295830910.0,6295830910.0
Các khoản vay cá nhân (9),Các khoản vay cá nhân (9),Các khoản vay cá nhân (9),3.650.000.000,3.650.000.000,350.000.000,-,4.000.000.000,4.000.000.000,3650000000.0,3650000000.0,350000000.0,,4000000000.0,4000000000.0
,,,125.122.341.140,125.122.341.140,11.846.402.400,38.834.379.391,98.134.364.149,98.134.364.149,125122341140.0,125122341140.0,11846402400.0,38834379391.0,98134364149.0,98134364149.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(31.458.617.051),(31.458.617.051),(30.793.587.388),(31.458.617.051),(30.793.587.388),(30.793.587.388),-31458617051.0,-31458617051.0,-30793587388.0,-31458617051.0,-30793587388.0,-30793587388.0
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,93.663.724.089,93.663.724.089,,,67.340.776.761,67.340.776.761,93663724089.0,93663724089.0,,,67340776761.0,67340776761.0
