row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2015 VND,Năm 2014 VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2015 VND,numeric__Năm 2014 VND
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,27,2.088.115.447.817,1.898.336.486.917,,27.0,2088115447817.0,1898336486917.0
02,02,02,2. Các khoản giảm trừ doanh thu,28,2.320.793.359,460.013.852,,28.0,2320793359.0,460013852.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,29,2.085.794.654.458,1.897.876.473.065,,29.0,2085794654458.0,1897876473065.0
11,11,11,4. Giá vốn hàng bán,30,1.865.511.830.692,1.671.728.241.832,,30.0,1865511830692.0,1671728241832.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,220.282.823.766,226.148.231.233,,,220282823766.0,226148231233.0
21,21,21,6. Doanh thu hoạt động tài chính,31,257.111.799.780,235.564.268.780,,31.0,257111799780.0,235564268780.0
22,22,22,7. Chi phí tài chính,32,20.249.171.139,28.042.149.626,,32.0,20249171139.0,28042149626.0
23,23,23,Trong đó: Chi phí lãi vay,,12.213.803.288,16.619.420.790,,,12213803288.0,16619420790.0
24,24,24,"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,125.889.579.542,36.314.856.615,,,125889579542.0,36314856615.0
25,25,25,9. Chi phí bán hàng,33,89.974.453.348,77.007.107.497,,33.0,89974453348.0,77007107497.0
26,26,26,10. Chi phí quản lý doanh nghiệp,34,185.279.166.781,164.480.018.181,,34.0,185279166781.0,164480018181.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,307.781.411.820,228.498.081.324,,,307781411820.0,228498081324.0
31,31,31,12. Thu nhập khác,35,21.688.529.060,55.861.739.955,,35.0,21688529060.0,55861739955.0
32,32,32,13. Chi phí khác,36,26.810.305.289,91.333.618.585,,36.0,26810305289.0,91333618585.0
40,40,40,14. Lợi nhuận khác,,(5.121.776.229),(35.471.878.630),,,-5121776229.0,-35471878630.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,302.659.635.591,193.026.202.694,,,302659635591.0,193026202694.0
51,51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,37,5.989.846.732,6.083.509.228,,37.0,5989846732.0,6083509228.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,38,2.214.702.063,135.795.615,,38.0,2214702063.0,135795615.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,294.455.086.796,186.806.897.851,,,294455086796.0,186806897851.0
61,61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,290.339.551.720,183.366.147.466,,,290339551720.0,183366147466.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,4.115.535.076,3.440.750.385,,,4115535076.0,3440750385.0
