row_label_raw,row_label_full,Tại ngày 31/12/2015,Từ 1 năm trở xuống > VND,Trên 1 năm đến 5 năm > VND,Trên 5 năm > VND,Cộng > VND,numeric__Từ 1 năm trở xuống > VND,numeric__Trên 1 năm đến 5 năm > VND,numeric__Trên 5 năm > VND,numeric__Cộng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,274.912.196.100,-,-,274.912.196.100,274912196100.0,,,274912196100.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",259.955.818.233,4.204.275.351,-,264.160.093.584,259955818233.0,4204275351.0,,264160093584.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,16.124.503.000,81.288.536.900,-,97.413.039.900,16124503000.0,81288536900.0,,97413039900.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,1.073.390.507.914,-,-,1.073.390.507.914,1073390507914.0,,,1073390507914.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,24.853.130.219,-,24.853.130.219,,24853130219.0,,24853130219.0
,,,1.624.383.025.247,110.345.942.470,-,1.734.728.967.717,1624383025247.0,110345942470.0,,1734728967717.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,100.259.974.400,-,-,100.259.974.400,100259974400.0,,,100259974400.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",267.184.520.394,3.085.986.384,-,270.270.506.778,267184520394.0,3085986384.0,,270270506778.0
Các khoản cho vay,Tại ngày 01/01/2015 > Các khoản cho vay,Các khoản cho vay,-,84.254.948.000,-,84.254.948.000,,84254948000.0,,84254948000.0
Đầu tư ngắn hạn,Tại ngày 01/01/2015 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,1.004.642.155.000,-,-,1.004.642.155.000,1004642155000.0,,,1004642155000.0
Đầu tư dài hạn,Tại ngày 01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,24.796.173.816,-,24.796.173.816,,24796173816.0,,24796173816.0
,,,1.372.086.649.794,112.137.108.200,-,1.484.223.757.994,1372086649794.0,112137108200.0,,1484223757994.0
