row_label_raw,row_label_full,Mã số,Tên khoản mục,Số tiền,Mã số_1,Tên khoản mục_1,Số tiền_1,Thay đổi,numeric__Tên khoản mục,numeric__Số tiền,numeric__Mã số_1,numeric__Tên khoản mục_1,numeric__Số tiền_1,numeric__Thay đổi
,,,a/ Băng Cân đối kế toán hợp nhất,,,a/ Băng Cân đối kế toán hợp nhất,,,,,,,,
121,121,121,Đầu tư ngắn hạn,1.004.642.155.000,,,,1.004.642.155.000,,1004642155000.0,,,,1004642155000.0
129,129,129,Dự phòng giảm giá đầu tư ngắn hạn,,,,,-,,,,,,
,,,,,121,Chứng khoán kinh doanh,-,-,,,121.0,,,
,,,,,122,Dự phòng giảm giá chứng khoán kinh doanh,-,-,,,122.0,,,
,,,,,123,Đầu tư nắm giữ đến ngày đáo hạn,1.004.642.155.000,(1.004.642.155.000),,,123.0,,1004642155000.0,-1004642155000.0
131,129 > 131,131,Phải thu khách hàng,194.822.783.413,131,Phải thu ngắn hạn khách hàng,199.269.763.114,(4.446.979.701),,194822783413.0,131.0,,199269763114.0,-4446979701.0
132,129 > 132,132,Trả trước cho người bán,43.328.611.382,132,Trả trước cho người bán ngắn hạn,43.328.611.382,-,,43328611382.0,132.0,,43328611382.0,
,,,,,135,Phải thu về cho vay ngắn hạn,-,-,,,135.0,,,
135,129 > 135,135,Các khoản phải thu khác,59.502.440.100,136,Phải thu ngắn hạn khác,86.354.757.755,(26.852.317.655),,59502440100.0,136.0,,86354757755.0,-26852317655.0
139,129 > 139,139,Dự phòng phải thu ngắn hạn khó đòi,(18.440.000.475),137,Dự phòng phải thu ngắn hạn khó đòi,(18.440.000.475),-,,-18440000475.0,137.0,,-18440000475.0,
,,,,,139,Tài sản thiếu chờ xử lý,1.301.383.991,(1.301.383.991),,,139.0,,1301383991.0,-1301383991.0
154,129 > 154,154,Thuế và các khoản khác phải thu Nhà nước,1.148.415.639,153,Thuế và các khoản khác phải thu Nhà nước,1.148.415.639,-,,1148415639.0,153.0,,1148415639.0,
158,129 > 158,158,Tài sản ngắn hạn khác,28.153.701.646,155,Tài sản ngắn hạn khác,-,28.153.701.646,,28153701646.0,155.0,,,28153701646.0
,,,,,215,Phải thu về cho vay dài hạn,84.254.948.000,(84.254.948.000),,,215.0,,84254948000.0,-84254948000.0
211,129 > 211,211,Phải thu dài hạn của khách hàng,4.446.979.701,211,Phải thu dài hạn của khách hàng,-,4.446.979.701,,4446979701.0,211.0,,,4446979701.0
218,129 > 218,218,Phải thu dài hạn khác,1.091.577.313,216,Phải thu dài hạn khác,3.085.986.384,(1.994.409.071),,1091577313.0,216.0,,3085986384.0,-1994409071.0
268,129 > 268,268,Tài sản dài hạn khác,1.994.409.071,268,Tài sản dài hạn khác,-,1.994.409.071,,1994409071.0,268.0,,,1994409071.0
230,129 > 230,230,Chi phí xây dựng cơ bản dở dang,19.335.338.036,242,Chi phí xây dựng cơ bản dở dang,19.335.338.036,-,,19335338036.0,242.0,,19335338036.0,
258,129 > 258,258,Đầu tư dài hạn khác,113.261.413.581,253,Đầu tư góp vốn vào đơn vị khác,29.006.465.581,84.254.948.000,,113261413581.0,253.0,,29006465581.0,84254948000.0
259,129 > 259,259,Dự phòng giảm giá đầu tư tài chính dài hạn,(4.210.291.765),254,Dự phòng đầu tư tài chính dài hạn,(4.210.291.765),-,,-4210291765.0,254.0,,-4210291765.0,
,,,,,255,Đầu tư nắm giữ đến ngày đáo hạn,-,-,,,255.0,,,
311,129 > 311,311,Vay và nợ ngắn hạn,270.659.414.107,320,Vay và nợ thuê tài chính ngắn hạn,270.659.414.107,-,,270659414107.0,320.0,,270659414107.0,
312,129 > 312,312,Phải trả người bán,106.668.338.154,311,Phải trả người bán ngắn hạn,106.668.338.154,-,,106668338154.0,311.0,,106668338154.0,
