row_label_raw,row_label_full,col_0,Số phải thu đầu năm,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__Số phải thu đầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,,,,,,
Thuế giá trị gia tăng phải thu,- Thuế giá trị gia tăng > Thuế giá trị gia tăng phải thu,Thuế giá trị gia tăng phải thu,108.722.137,1.186.357.336,8.759.362.307,10.340.234.331,503.236.825,-,108722137.0,1186357336.0,8759362307.0,10340234331.0,503236825.0,
Thuế giá trị gia tăng phải trả,- Thuế giá trị gia tăng > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,-,3.459.101.509,60.440.776.747,61.784.682.434,-,2.115.195.822,,3459101509.0,60440776747.0,61784682434.0,,2115195822.0
- Thuế tiêu thụ đặc biệt,- Thuế giá trị gia tăng > - Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,36.947.819,-,36.947.819,-,-,,36947819.0,,36947819.0,,
"- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",,,,,,
"Thuế xuất, nhập khẩu phải thu","- Thuế xuất, nhập khẩu > Thuế xuất, nhập khẩu phải thu","Thuế xuất, nhập khẩu phải thu",101.564.909,-,27.929.940,-,73.634.969,-,101564909.0,,27929940.0,,73634969.0,
"Thuế xuất, nhập khẩu phải trả","- Thuế xuất, nhập khẩu > Thuế xuất, nhập khẩu phải trả","Thuế xuất, nhập khẩu phải trả",-,-,127.113.307,127.113.307,-,-,,,127113307.0,127113307.0,,
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,,,,,,
Thuế thu nhập doanh nghiệp phải thu,- Thuế thu nhập doanh nghiệp > Thuế thu nhập doanh nghiệp phải thu,Thuế thu nhập doanh nghiệp phải thu,417.291.050,494.514.449,567.361.302,2.324.886.869,1.680.302.168,-,417291050.0,494514449.0,567361302.0,2324886869.0,1680302168.0,
