row_label_raw,row_label_full,Hao mòn TSCĐ,Hao mòn TSCĐ_1,Hao mòn TSCĐ_2,Hao mòn TSCĐ_3,Hao mòn TSCĐ_4,Hao mòn TSCĐ_5,Hao mòn TSCĐ_6,numeric__Hao mòn TSCĐ_1,numeric__Hao mòn TSCĐ_2,numeric__Hao mòn TSCĐ_3,numeric__Hao mòn TSCĐ_4,numeric__Hao mòn TSCĐ_5,numeric__Hao mòn TSCĐ_6
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,173.600.712.672,314.338.278.504,34.054.024.627,22.389.039.494,5.868.175.155,550.250.230.452,173600712672.0,314338278504.0,34054024627.0,22389039494.0,5868175155.0,550250230452.0
Số tăng trong năm,Số tăng trong năm,Số tăng trong năm,94.493.296.254,31.896.679.935,4.265.905.882,8.276.470.708,752.919.446,139.685.272.225,94493296254.0,31896679935.0,4265905882.0,8276470708.0,752919446.0,139685272225.0
- Khấu hao trong năm,- Khấu hao trong năm,- Khấu hao trong năm,20.728.376.985,31.195.313.035,3.075.165.243,8.093.414.436,320.183.427,63.412.453.126,20728376985.0,31195313035.0,3075165243.0,8093414436.0,320183427.0,63412453126.0
- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Lộc Bình,- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Lộc Bình,- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Lộc Bình,1.287.649.639,-,405.691.500,-,-,1.693.341.139,1287649639.0,,405691500.0,,,1693341139.0
- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Đình Lập,- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Đình Lập,- Tăng do tiếp nhận Công ty TNHHMTV Lâm nghiệp Đình Lập,3.236.543.736,484.839.517,526.364.499,,,4.247.747.752,3236543736.0,484839517.0,526364499.0,,,4247747752.0
- Tăng theo Biên Bản xác định GTDN,- Tăng theo Biên Bản xác định GTDN,- Tăng theo Biên Bản xác định GTDN,69.240.725.894,216.527.383,258.684.640,183.056.272,432.736.019,70.331.730.208,69240725894.0,216527383.0,258684640.0,183056272.0,432736019.0,70331730208.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,(27.747.719.635),(29.843.121.742),(7.303.238.236),(3.005.012.885),(1.371.409.276),(69.270.501.774),-27747719635.0,-29843121742.0,-7303238236.0,-3005012885.0,-1371409276.0,-69270501774.0
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(15.326.579.063),(3.362.796.422),(2.881.948.776),(212.235.883),(598.912.619),(22.382.472.763),-15326579063.0,-3362796422.0,-2881948776.0,-212235883.0,-598912619.0,-22382472763.0
- Giảm do bản giao Công ty TNHH MTVLN Sóc Trăng về UBND tỉnh Sóc Trăng,- Giảm do bản giao Công ty TNHH MTVLN Sóc Trăng về UBND tỉnh Sóc Trăng,- Giảm do bản giao Công ty TNHH MTVLN Sóc Trăng về UBND tỉnh Sóc Trăng,(5.361.710.312),-,(429.857.600),(119.675.654),-,(5.911.243.566),-5361710312.0,,-429857600.0,-119675654.0,,-5911243566.0
- Giảm do không hợp nhất Công tyCổ phần An Bình,- Giảm do không hợp nhất Công tyCổ phần An Bình,- Giảm do không hợp nhất Công tyCổ phần An Bình,(3.776.422.055),(2.654.045.093),(734.236.538),-,(186.930.970),(7.351.634.656),-3776422055.0,-2654045093.0,-734236538.0,,-186930970.0,-7351634656.0
- Giảm theo xác định GTDN,- Giảm theo xác định GTDN,- Giảm theo xác định GTDN,(1.637.037.181),(23.629.109.664),(3.257.195.322),(2.271.840.431),(4.341.898),(30.799.524.496),-1637037181.0,-23629109664.0,-3257195322.0,-2271840431.0,-4341898.0,-30799524496.0
- Bàn giao cho địa phương quản lý,- Bàn giao cho địa phương quản lý,- Bàn giao cho địa phương quản lý,(447.294.343),-,-,-,-,(447.294.343),-447294343.0,,,,,-447294343.0
- Bàn giao tài sản hình thành tử quỹKTPL,- Bàn giao tài sản hình thành tử quỹKTPL,- Bàn giao tài sản hình thành tử quỹKTPL,(629.692.075),-,-,-,-,(629.692.075),-629692075.0,,,,,-629692075.0
