row_label_raw,row_label_full,"Ngân hàng Nông nghiệp và Phát triển Nông thôn CN Hoàng Mai, Hà Nội (14)",8.000.000.000,8.000.000.000_1,8.000.000.000_2,8.550.000.000,7.450.000.000,7.450.000.000_1,numeric__8.000.000.000,numeric__8.000.000.000_1,numeric__8.000.000.000_2,numeric__8.550.000.000,numeric__7.450.000.000,numeric__7.450.000.000_1
Ngân hàng TMCP Ngoại thương- CN Đắk Lắk,Ngân hàng TMCP Ngoại thương- CN Đắk Lắk,Ngân hàng TMCP Ngoại thương- CN Đắk Lắk,-,-,2.300.000.000,2.300.000.000,-,-,,,2300000000.0,2300000000.0,,
Các khoản vay các cá nhân (15),Các khoản vay các cá nhân (15),Các khoản vay các cá nhân (15),12.912.828.646,12.912.828.646,13.710.161.000,15.564.608.196,11.058.381.450,11.058.381.450,12912828646.0,12912828646.0,13710161000.0,15564608196.0,11058381450.0,11058381450.0
- Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,31.458.617.051,31.458.617.051,30.793.587.388,31.458.617.051,30.793.587.388,30.793.587.388,31458617051.0,31458617051.0,30793587388.0,31458617051.0,30793587388.0,30793587388.0
Ngân hàng Phát triển Gia Lai (1),Ngân hàng Phát triển Gia Lai (1),Ngân hàng Phát triển Gia Lai (1),26.000.000.000,26.000.000.000,25.000.000.000,26.000.000.000,25.000.000.000,25.000.000.000,26000000000.0,26000000000.0,25000000000.0,26000000000.0,25000000000.0,25000000000.0
Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),Ngân hàng Phát triển Việt Nam - CN Hòa Bình (2),2.238.617.051,2.238.617.051,1.517.167.006,2.238.617.051,1.517.167.006,1.517.167.006,2238617051.0,2238617051.0,1517167006.0,2238617051.0,1517167006.0,1517167006.0
Công ty TNHH Sản xuất Nguyễn liệu Giấy Việt Nhật - Cái Lân (3),Công ty TNHH Sản xuất Nguyễn liệu Giấy Việt Nhật - Cái Lân (3),Công ty TNHH Sản xuất Nguyễn liệu Giấy Việt Nhật - Cái Lân (3),-,-,906.540.382,-,906.540.382,906.540.382,,,906540382.0,,906540382.0,906540382.0
Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),Ngân hàng Phát triển Việt Nam - CN Bắc Giang (4),3.220.000.000,3.220.000.000,2.350.000.000,3.220.000.000,2.350.000.000,2.350.000.000,3220000000.0,3220000000.0,2350000000.0,3220000000.0,2350000000.0,2350000000.0
Ngân hàng TMCP Ngoại Thương Việt Nam - CN 3 TP Hồ Chí Minh (5),Ngân hàng TMCP Ngoại Thương Việt Nam - CN 3 TP Hồ Chí Minh (5),Ngân hàng TMCP Ngoại Thương Việt Nam - CN 3 TP Hồ Chí Minh (5),-,-,94.440.000,-,94.440.000,94.440.000,,,94440000.0,,94440000.0,94440000.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - CN Lộc Bình (6),-,-,150.000.000,-,150.000.000,150.000.000,,,150000000.0,,150000000.0,150000000.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Đình Lập (7),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Đình Lập (7),Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam - Đình Lập (7),-,-,775.440.000,-,775.440.000,775.440.000,,,775440000.0,,775440000.0,775440000.0
