row_label_raw,row_label_full,col_0,Số đầu năm,Phát sinh tăng,Phân bổ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh tăng,numeric__Phân bổ trong năm,numeric__Số cuối năm
12.1. Ngắn hạn,12.1. Ngắn hạn,12.1. Ngắn hạn,12.1. Ngắn hạn,12.1. Ngắn hạn,12.1. Ngắn hạn,12.1. Ngắn hạn,,,,
- CCDC xuất dùng,12.1. Ngắn hạn > - CCDC xuất dùng,- CCDC xuất dùng,15.904.472.322,56.280.519.170,50.182.524.358,22.002.467.134,15904472322.0,56280519170.0,50182524358.0,22002467134.0
- Chi phí quảng cáo,12.1. Ngắn hạn > - Chi phí quảng cáo,- Chi phí quảng cáo,1.568.606.765,2.866.626.109,2.641.231.561,1.794.001.313,1568606765.0,2866626109.0,2641231561.0,1794001313.0
- Chi phí dịch vụ mua ngoài,12.1. Ngắn hạn > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,334.263.520,-,334.263.520,-,334263520.0,,334263520.0,
- Chi phí bảo hiểm,12.1. Ngắn hạn > - Chi phí bảo hiểm,- Chi phí bảo hiểm,559.175.483,506.714.172,643.627.845,422.261.810,559175483.0,506714172.0,643627845.0,422261810.0
Cộng,12.1. Ngắn hạn > Cộng,Cộng,18.366.518.090,59.653.859.451,53.801.647.284,24.218.730.257,18366518090.0,59653859451.0,53801647284.0,24218730257.0
12.2. Dài hạn,12.2. Dài hạn,12.2. Dài hạn,12.2. Dài hạn,12.2. Dài hạn,12.2. Dài hạn,12.2. Dài hạn,,,,
- CCDC xuất dùng,12.2. Dài hạn > - CCDC xuất dùng,- CCDC xuất dùng,7.803.013.628,7.670.738.018,7.602.559.129,7.871.192.517,7803013628.0,7670738018.0,7602559129.0,7871192517.0
"- Chi phí sửa chữa xe nâng, quạt mát","12.2. Dài hạn > - Chi phí sửa chữa xe nâng, quạt mát","- Chi phí sửa chữa xe nâng, quạt mát",154.112.575,-,66.462.468,87.650.107,154112575.0,,66462468.0,87650107.0
- Chi phí cho bề chào mã kẽm Nhà máy 2,12.2. Dài hạn > - Chi phí cho bề chào mã kẽm Nhà máy 2,- Chi phí cho bề chào mã kẽm Nhà máy 2,16.343.995.121,6.325.356.137,7.475.775.209,15.193.576.049,16343995121.0,6325356137.0,7475775209.0,15193576049.0
- Chi phí sửa chữa nhà xưởng,12.2. Dài hạn > - Chi phí sửa chữa nhà xưởng,- Chi phí sửa chữa nhà xưởng,514.761.205,-,203.494.776,311.266.429,514761205.0,,203494776.0,311266429.0
Cộng,12.2. Dài hạn > Cộng,Cộng,24.815.882.529,13.996.094.155,15.348.291.582,23.463.685.102,24815882529.0,13996094155.0,15348291582.0,23463685102.0
