row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,399.000.000.000,62.100.000.000,7.947.406.623,,37.418.831.393,506.466.238.016,399000000000.0,62100000000.0,7947406623.0,,37418831393.0,506466238016.0
- Lợi nhuận tăng trong năm trước,- Lợi nhuận tăng trong năm trước,- Lợi nhuận tăng trong năm trước,,-,-,-,126.060.765.192,126.060.765.192,,,,,126060765192.0,126060765192.0
- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,39.899.200.000,-,1.122.564.942,1.122.564.942,-,42.144.329.884,39899200000.0,,1122564942.0,1122564942.0,,42144329884.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,-,-,,,,,,
- Giảm vốn trong năm trước,- Giảm vốn trong năm trước,- Giảm vốn trong năm trước,-,-,-,-,-,-,,,,,,
- Trích lập các quỹ,- Giảm vốn trong năm trước > - Trích lập các quỹ,- Trích lập các quỹ,-,-,-,-,(2.993.506.512),(2.993.506.512),,,,,-2993506512.0,-2993506512.0
"+ Quỹ khen thưởng, phúc lợi","- Giảm vốn trong năm trước > + Quỹ khen thưởng, phúc lợi","+ Quỹ khen thưởng, phúc lợi",-,-,-,-,(748.376.628),(748.376.628),,,,,-748376628.0,-748376628.0
+ Quỹ đầu tư phát triển,- Giảm vốn trong năm trước > + Quỹ đầu tư phát triển,+ Quỹ đầu tư phát triển,-,-,-,-,(1.122.564.942),(1.122.564.942),,,,,-1122564942.0,-1122564942.0
+ Quỹ khác thuộc vốn chủ sở hữu,- Giảm vốn trong năm trước > + Quỹ khác thuộc vốn chủ sở hữu,+ Quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,(1.122.564.942),(1.122.564.942),,,,,-1122564942.0,-1122564942.0
- Chia cổ tức,- Giảm vốn trong năm trước > - Chia cổ tức,- Chia cổ tức,-,-,-,-,(31.919.200.000),(31.919.200.000),,,,,-31919200000.0,-31919200000.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,-,-,,,,,,
Số dư cuối năm trước,- Giảm khác > Số dư cuối năm trước,Số dư cuối năm trước,438.899.200.000,62.100.000.000,9.069.971.565,1.122.564.942,128.566.890.073,639.758.626.580,438899200000.0,62100000000.0,9069971565.0,1122564942.0,128566890073.0,639758626580.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,,,,,,,,,,,,
- Lợi nhuận tăng trong năm nay,Số dư đầu năm nay > - Lợi nhuận tăng trong năm nay,- Lợi nhuận tăng trong năm nay,-,-,-,-,517.776.271.652,517.776.271.652,,,,,517776271652.0,517776271652.0
- Tăng vốn trong năm nay,Số dư đầu năm nay > - Tăng vốn trong năm nay,- Tăng vốn trong năm nay,221.444.410.000,263.800.000.000,3.781.822.956,3.781.822.956,-,492.808.055.912,221444410000.0,263800000000.0,3781822956.0,3781822956.0,,492808055912.0
- Tăng khác,- Tăng khác,- Tăng khác,-,-,-,-,,-,,,,,,
- Trích lập các quỹ,- Tăng khác > - Trích lập các quỹ,- Trích lập các quỹ,,,,,(11.345.468.868),(11.345.468.868),,,,,-11345468868.0,-11345468868.0
"+ Quỹ khen thưởng, phúc lợi","- Tăng khác > + Quỹ khen thưởng, phúc lợi","+ Quỹ khen thưởng, phúc lợi",-,-,-,-,(3.781.822.956),(3.781.822.956),,,,,-3781822956.0,-3781822956.0
+ Quỹ đầu tư phát triển,- Tăng khác > + Quỹ đầu tư phát triển,+ Quỹ đầu tư phát triển,-,-,,-,(3.781.822.956),(3.781.822.956),,,,,-3781822956.0,-3781822956.0
+ Quỹ khác thuộc vốn chủ sở hữu,- Tăng khác > + Quỹ khác thuộc vốn chủ sở hữu,+ Quỹ khác thuộc vốn chủ sở hữu,-,-,-,-,(3.781.822.956),(3.781.822.956),,,,,-3781822956.0,-3781822956.0
- Chia cổ tức,- Tăng khác > - Chia cổ tức,- Chia cổ tức,-,(61.544.410.000),-,-,,(61.544.410.000),,-61544410000.0,,,,-61544410000.0
- Giảm khác,- Giảm khác,- Giảm khác,-,,-,-,,-,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,660.343.610.000,264.355.590.000,12.851.794.521,4.904.387.898,634.997.692.857,1.577.453.075.276,660343610000.0,264355590000.0,12851794521.0,4904387898.0,634997692857.0,1577453075276.0
