row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,TSCĐ thuê tài chínhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__TSCĐ thuê tài chínhkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,-,-,-,,,,,,
Số tăng trong năm,Số dư đầu năm > Số tăng trong năm,Số tăng trong năm,-,2.167.280.000,-,-,-,2.167.280.000,,2167280000.0,,,,2167280000.0
- Thuê tài chính trong năm,Số dư đầu năm > - Thuê tài chính trong năm,- Thuê tài chính trong năm,-,2.167.280.000,-,-,-,2.167.280.000,,2167280000.0,,,,2167280000.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Số giảm trong năm > Số dư cuối năm,Số dư cuối năm,-,2.167.280.000,-,-,-,2.167.280.000,,2167280000.0,,,,2167280000.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,-,-,-,,,,,,
Số tăng trong năm,Số dư đầu năm > Số tăng trong năm,Số tăng trong năm,-,49.537.189,-,-,-,49.537.189,,49537189.0,,,,49537189.0
- Khấu hao trong năm,Số dư đầu năm > - Khấu hao trong năm,- Khấu hao trong năm,-,49.537.189,-,-,-,49.537.189,,49537189.0,,,,49537189.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Số giảm trong năm > Số dư cuối năm,Số dư cuối năm,-,49.537.189,-,-,-,49.537.189,,49537189.0,,,,49537189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,-,-,-,-,-,,,,,,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,-,2.117.742.811,-,-,-,2.117.742.811,,2117742811.0,,,,2117742811.0
