row_label_raw,row_label_full,col_0,Giá trị sổ sách > Số cuối năm,Giá trị sổ sách > Số đầu năm,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị sổ sách > Số cuối năm,numeric__Giá trị sổ sách > Số đầu năm,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương,Tài sản tài chính > Tiền và các khoản tương,Tiền và các khoản tương,173.795.987.771,51.475.086.265,173.795.987.771,51.475.086.265,173795987771.0,51475086265.0,173795987771.0,51475086265.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,359.079.207.532,358.388.230.021,359.079.207.532,358.388.230.021,359079207532.0,358388230021.0,359079207532.0,358388230021.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,120.429.273.785,174.957.517.253,120.429.273.785,174.957.517.253,120429273785.0,174957517253.0,120429273785.0,174957517253.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,10.549.344.029,3.581.346.115,10.549.344.029,3.581.346.115,10549344029.0,3581346115.0,10549344029.0,3581346115.0
,,,663.853.813.117,588.402.179.654,663.853.813.117,588.402.179.654,663853813117.0,588402179654.0,663853813117.0,588402179654.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,429.271.407.815,879.365.672.552,429.271.407.815,879.365.672.552,429271407815.0,879365672552.0,429271407815.0,879365672552.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,76.188.232.135,62.301.483.297,76.188.232.135,62.301.483.297,76188232135.0,62301483297.0,76188232135.0,62301483297.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,4.118.099.476.888,1.977.932.846.590,4.118.099.476.888,1.977.932.846.590,4118099476888.0,1977932846590.0,4118099476888.0,1977932846590.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,18.267.868.106,8.873.763.132,18.267.868.106,8.873.763.132,18267868106.0,8873763132.0,18267868106.0,8873763132.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,4.808.904.719,90.909.091,4.808.904.719,90.909.091,4808904719.0,90909091.0,4808904719.0,90909091.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,1.431.829.235,1.549.619.301,1.431.829.235,1.549.619.301,1431829235.0,1549619301.0,1431829235.0,1549619301.0
,,,4.648.067.718.898,2.930.114.293.963,4.648.067.718.898,2.930.114.293.963,4648067718898.0,2930114293963.0,4648067718898.0,2930114293963.0
