row_label_raw,row_label_full,Việt Nam đồng,Số cuối năm > Giá trị > 98.819.681.972,Số cuối năm > Số có khả năng trả nợ > 98.819.681.972,Phát sinh > Tăng > 1.777.350.486.828,Phát sinh > Giảm > 2.106.567.029.412,Số đầu năm > Giá trị > 428.036.224.556,Số đầu năm > Số có khả năng trả nợ > 428.036.224.556,numeric__Số cuối năm > Giá trị > 98.819.681.972,numeric__Số cuối năm > Số có khả năng trả nợ > 98.819.681.972,numeric__Phát sinh > Tăng > 1.777.350.486.828,numeric__Phát sinh > Giảm > 2.106.567.029.412,numeric__Số đầu năm > Giá trị > 428.036.224.556,numeric__Số đầu năm > Số có khả năng trả nợ > 428.036.224.556
- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,5.741.517.792,5.741.517.792,1.058.496.191.511,1.430.989.779.666,378.235.105.947,378.235.105.947,5741517792.0,5741517792.0,1058496191511.0,1430989779666.0,378235105947.0,378235105947.0
- NH TMCP Đông Á,- NH TMCP Đông Á,- NH TMCP Đông Á,-,-,148.900.000.000,148.900.000.000,-,-,,,148900000000.0,148900000000.0,,
- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,-,-,240.883.898.572,240.883.898.572,-,-,,,240883898572.0,240883898572.0,,
- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,27.088.324.395,27.088.324.395,144.689.368.406,121.402.162.620,3.801.118.609,3.801.118.609,27088324395.0,27088324395.0,144689368406.0,121402162620.0,3801118609.0,3801118609.0
- NH Xăng dầu Petrolimex,- NH Xăng dầu Petrolimex,- NH Xăng dầu Petrolimex,65.989.839.785,65.989.839.785,184.381.028.339,164.391.188.554,46.000.000.000,46.000.000.000,65989839785.0,65989839785.0,184381028339.0,164391188554.0,46000000000.0,46000000000.0
Đô la Mỹ,Đô la Mỹ,Đô la Mỹ,2.159.237.012.814,2.159.237.012.814,4.729.385.724.685,3.308.083.123.187,737.934.411.316,737.934.411.316,2159237012814.0,2159237012814.0,4729385724685.0,3308083123187.0,737934411316.0,737934411316.0
- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,1.240.828.521.965,1.240.828.521.965,2.984.685.421.262,2.322.027.536.586,578.170.637.289,578.170.637.289,1240828521965.0,1240828521965.0,2984685421262.0,2322027536586.0,578170637289.0,578170637289.0
- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,384.197.897.815,384.197.897.815,526.895.515.499,142.697.617.684,-,-,384197897815.0,384197897815.0,526895515499.0,142697617684.0,,
- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,97.488.159.921,97.488.159.921,309.196.895.484,232.936.657.690,21.227.922.127,21.227.922.127,97488159921.0,97488159921.0,309196895484.0,232936657690.0,21227922127.0,21227922127.0
- NH Xăng dầu Petrolimex,- NH Xăng dầu Petrolimex,- NH Xăng dầu Petrolimex,46.117.578.724,46.117.578.724,253.779.954.971,296.022.478.147,88.360.101.900,88.360.101.900,46117578724.0,46117578724.0,253779954971.0,296022478147.0,88360101900.0,88360101900.0
- NH Việt Nam Thịnh Vương,- NH Việt Nam Thịnh Vương,- NH Việt Nam Thịnh Vương,119.963.541.009,119.963.541.009,258.751.140.868,188.963.349.859,50.175.750.000,50.175.750.000,119963541009.0,119963541009.0,258751140868.0,188963349859.0,50175750000.0,50175750000.0
- NH XD Trung Quốc,- NH XD Trung Quốc,- NH XD Trung Quốc,123.134.370.000,123.134.370.000,216.055.745.000,92.921.375.000,-,-,123134370000.0,123134370000.0,216055745000.0,92921375000.0,,
- NH TMCP Tiên Phong,- NH TMCP Tiên Phong,- NH TMCP Tiên Phong,147.506.943.380,147.506.943.380,180.021.051.601,32.514.108.221,-,-,147506943380.0,147506943380.0,180021051601.0,32514108221.0,,
Cộng,Cộng,Cộng,2.258.056.694.786,2.258.056.694.786,6.506.736.211.513,5.414.650.152.599,1.165.970.635.872,1.165.970.635.872,2258056694786.0,2258056694786.0,6506736211513.0,5414650152599.0,1165970635872.0,1165970635872.0
17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),17.2. Dài hạn (*),,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
- Vay dài hạn ngân hàng (a),17.2. Dài hạn (*) > - Vay dài hạn ngân hàng (a),- Vay dài hạn ngân hàng (a),1.488.404.650.348,1.488.404.650.348,1.348.045.459.555,671.603.019.925,811.962.210.718,811.962.210.718,1488404650348.0,1488404650348.0,1348045459555.0,671603019925.0,811962210718.0,811962210718.0
- Trái phiếu thường (b),17.2. Dài hạn (*) > - Trái phiếu thường (b),- Trái phiếu thường (b),370.000.000.000,370.000.000.000,370.000.000.000,,,,370000000000.0,370000000000.0,370000000000.0,,,
- Các khoản nợ thuê tài chính (c),17.2. Dài hạn (*) > - Các khoản nợ thuê tài chính (c),- Các khoản nợ thuê tài chính (c),1.638.131.754,,1.762.133.890,124.002.136,,,1638131754.0,,1762133890.0,124002136.0,,
Cộng,17.2. Dài hạn (*) > Cộng,Cộng,1.860.042.782.102,1.858.404.650.348,1.719.807.593.445,671.727.022.061,811.962.210.718,811.962.210.718,1860042782102.0,1858404650348.0,1719807593445.0,671727022061.0,811962210718.0,811962210718.0
