row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Quyền phát hành,"Bản quyền, bằng sáng chế",Phần mềm kế toán,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Quyền phát hành,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm kế toán,numeric__TSCĐ vô hình khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,66.909.025.508,-,-,135.600.000,-,67.044.625.508,66909025508.0,,,135600000.0,,67044625508.0
Số tăng trong năm,Số tăng trong năm,Số tăng trong năm,-,-,-,-,-,-,,,,,,
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Số giảm trong năm > Số dư cuối năm,Số dư cuối năm,66.909.025.508,-,-,135.600.000,-,67.044.625.508,66909025508.0,,,135600000.0,,67044625508.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,6.904.121.661,-,-,65.540.000,-,6.969.661.661,6904121661.0,,,65540000.0,,6969661661.0
Số tăng trong năm,Giá trị hao mòn luỹ kế > Số tăng trong năm,Số tăng trong năm,1.498.835.424,-,-,27.120.000,-,1.525.955.424,1498835424.0,,,27120000.0,,1525955424.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,1.498.835.424,-,-,27.120.000,-,1.525.955.424,1498835424.0,,,27120000.0,,1525955424.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,-,-,-,,,,,,
Số dư cuối năm,Số giảm trong năm > Số dư cuối năm,Số dư cuối năm,8.402.957.085,-,-,92.660.000,-,8.495.617.085,8402957085.0,,,92660000.0,,8495617085.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,60.004.903.847,-,-,70.060.000,-,60.074.963.847,60004903847.0,,,70060000.0,,60074963847.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,58.506.068.423,-,-,42.940.000,-,58.549.008.423,58506068423.0,,,42940000.0,,58549008423.0
