row_label_raw,row_label_full,Việt Nam đồng,Số cuối năm > Giá trị > 1.434.456.891.628,Số cuối năm > Số có khả năng trả nợ > 1.434.456.891.628,Phát sinh > Tăng > 1.298.422.468.835,Phát sinh > Giảm > 485.924.794.676,Số đầu năm > Giá trị > 621.959.217.469,Số đầu năm > Số có khả năng trả nợ > 621.959.217.469,numeric__Số cuối năm > Giá trị > 1.434.456.891.628,numeric__Số cuối năm > Số có khả năng trả nợ > 1.434.456.891.628,numeric__Phát sinh > Tăng > 1.298.422.468.835,numeric__Phát sinh > Giảm > 485.924.794.676,numeric__Số đầu năm > Giá trị > 621.959.217.469,numeric__Số đầu năm > Số có khả năng trả nợ > 621.959.217.469
- NH TMCP Đông Á,- NH TMCP Đông Á,- NH TMCP Đông Á,-,-,-,338.968.390.000,338.968.390.000,338.968.390.000,,,,338968390000.0,338968390000.0,338968390000.0
- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,- NH Công Thương Việt Nam,3.150.000.000,3.150.000.000,3.500.000.000,350.000.000,-,-,3150000000.0,3150000000.0,3500000000.0,350000000.0,,
- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,1.419.406.891.628,1.419.406.891.628,1.294.922.468.835,146.106.404.676,270.590.827.469,270.590.827.469,1419406891628.0,1419406891628.0,1294922468835.0,146106404676.0,270590827469.0,270590827469.0
- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,11.900.000.000,11.900.000.000,-,500.000.000,12.400.000.000,12.400.000.000,11900000000.0,11900000000.0,,500000000.0,12400000000.0,12400000000.0
Đô la Mỹ,Đô la Mỹ,Đô la Mỹ,53.947.758.720,53.947.758.720,49.622.990.720,185.678.225.249,190.002.993.249,190.002.993.249,53947758720.0,53947758720.0,49622990720.0,185678225249.0,190002993249.0,190002993249.0
- NH TMCP Đông Á,- NH TMCP Đông Á,- NH TMCP Đông Á,-,-,,185.678.225.249,185.678.225.249,185.678.225.249,,,,185678225249.0,185678225249.0,185678225249.0
- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,53.947.758.720,53.947.758.720,49.622.990.720,-,4.324.768.000,4.324.768.000,53947758720.0,53947758720.0,49622990720.0,,4324768000.0,4324768000.0
Cộng,Cộng,Cộng,1.488.404.650.348,1.488.404.650.348,1.348.045.459.555,671.603.019.925,811.962.210.718,811.962.210.718,1488404650348.0,1488404650348.0,1348045459555.0,671603019925.0,811962210718.0,811962210718.0
b. Trái phiếu thường,b. Trái phiếu thường,b. Trái phiếu thường,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
b. Trái phiếu thường,b. Trái phiếu thường,b. Trái phiếu thường,Giá trị,Lãi suất,Kỳ hạn,Giá trị,Lãi suất,Kỳ hạn,,,,,,
Loại phát hành theo mênh giá (*),b. Trái phiếu thường > Loại phát hành theo mênh giá (*),Loại phát hành theo mênh giá (*),370.000.000.000,Lãi suất cố định kết hợp thả nổi,5 năm,-,,,370000000000.0,,,,,
Cộng,b. Trái phiếu thường > Cộng,Cộng,370.000.000.000,,,-,,,370000000000.0,,,,,
