row_label_raw,row_label_full,- Tổng giá trị cổ phiếu,Số cuối năm > Giá trị gốc > 9.353.176,Số cuối năm > Giá trị hợp lý > 13.262.800,Số cuối năm > Dự phòng > -,Số đầu năm > Giá trị gốc > 9.353.176,Số đầu năm > Giá trị hợp lý > 19.240.400,Số đầu năm > Dự phòng > -,numeric__Số cuối năm > Giá trị gốc > 9.353.176,numeric__Số cuối năm > Giá trị hợp lý > 13.262.800,numeric__Số cuối năm > Dự phòng > -,numeric__Số đầu năm > Giá trị gốc > 9.353.176,numeric__Số đầu năm > Giá trị hợp lý > 19.240.400,numeric__Số đầu năm > Dự phòng > -
+ BID,+ BID,+ BID,9.353.176,13.262.800,-,9.353.176,19.240.400,-,9353176.0,13262800.0,,9353176.0,19240400.0,
Cộng,Cộng,Cộng,9.353.176,13.262.800,-,9.353.176,19.240.400,-,9353176.0,13262800.0,,9353176.0,19240400.0,
"Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:","Ghi chú: Lý do thay đổi với từng khoản đầu tư / loại cổ phiếu, trái phiếu:",,,,,,
,,,,,Số lượng cổ phiếu,Giá trị ghi sổ,,,,,,,,
+ Cổ phiếu BID,+ Cổ phiếu BID,+ Cổ phiếu BID,,,,,,,,,,,,
Số đầu năm,+ Cổ phiếu BID > Số đầu năm,Số đầu năm,,,934,9.353.176,,,,,934.0,9353176.0,,
Số cuối năm,+ Cổ phiếu BID > Số cuối năm,Số cuối năm,,,934,9.353.176,,,,,934.0,9353176.0,,
2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,2.2. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
,,,,Số cuối năm,Số cuối năm,,Số đầu năm,Số đầu năm,,,,,,
,,,,Giá gốc,Giá trị ghi sổ,,Giá gốc,Giá trị ghi sổ,,,,,,
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,,,,,
- Tiền gửi có kỳ hạn,a. Ngắn hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,,26.000.000.000,26.000.000.000,,-,-,,26000000000.0,26000000000.0,,,
Cộng,a. Ngắn hạn > Cộng,Cộng,,26.000.000.000,26.000.000.000,,-,-,,26000000000.0,26000000000.0,,,
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,,,,,
Cộng,Cộng,Cộng,,-,-,,-,-,,,,,,
