row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.507.832.590.000,(300.150.000),246.879.179.072,1.011.446.073.648,2.765.857.692.720,1507832590000.0,-300150000.0,246879179072.0,1011446073648.0,2765857692720.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,962.670.679.590,962.670.679.590,,,,962670679590.0,962670679590.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(226.129.709.000),(226.129.709.000),,,,-226129709000.0,-226129709000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,753.764.650.000,-,-,(753.764.650.000),-,753764650000.0,,,-753764650000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,142.919.354.961,(142.919.354.961),-,,,142919354961.0,-142919354961.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(95.279.569.974),(95.279.569.974),,,,-95279569974.0,-95279569974.0
Biên động khác,Biên động khác,Biên động khác,-,-,-,(6.552.618.945),(6.552.618.945),,,,-6552618945.0,-6552618945.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.261.597.240.000,(300.150.000),389.798.534.033,749.470.850.358,3.400.566.474.391,2261597240000.0,-300150000.0,389798534033.0,749470850358.0,3400566474391.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.399.342.441.291,1.399.342.441.291,,,,1399342441291.0,1399342441291.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(226.129.709.000),(226.129.709.000),,,,-226129709000.0,-226129709000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,226.127.600.000,-,-,(226.127.600.000),-,226127600000.0,,,-226127600000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,209.803.363.366,(209.803.363.366),-,,,209803363366.0,-209803363366.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(139.868.908.911),(139.868.908.911),,,,-139868908911.0,-139868908911.0
Biên động khác,Biên động khác,Biên động khác,-,-,-,(16.746.475.595),(16.746.475.595),,,,-16746475595.0,-16746475595.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.487.724.840.000,(300.150.000),599.601.897.399,1.330.137.234.777,4.417.163.822.176,2487724840000.0,-300150000.0,599601897399.0,1330137234777.0,4417163822176.0
