row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,7.902.187.890.195,7.025.822.134.882,,300.0,,7902187890195.0,7025822134882.0
I.,I.,I.,Nợ ngắn hạn,310,,7.604.209.172.180,6.858.106.690.364,,310.0,,7604209172180.0,6858106690364.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,,1.232.300.227.071,1.408.769.529.982,,311.0,,1232300227071.0,1408769529982.0
2.,2.,2.,Nauời mua trả tiền trước ngắn hạn,312,,3.876.688.026,-,,312.0,,3876688026.0,
3.,3.,3.,Thuế và các khoản phải nộp Nhà,313,10,94.805.052.486,46.824.598.674,,313.0,10.0,94805052486.0,46824598674.0
4.,4.,4.,Phải trả người lao động,314,,1.464.530.411,95.288.336.426,,314.0,,1464530411.0,95288336426.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,14,496.890.292.447,472.636.961.584,,315.0,14.0,496890292447.0,472636961584.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,1.176.893.362.188,1.071.954.027.965,,318.0,,1176893362188.0,1071954027965.0
7.,7.,7.,Phải trả ngắn hạn khác,319,,370.330.193.373,236.446.953.746,,319.0,,370330193373.0,236446953746.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,15,4.076.639.400.670,3.362.087.529.178,,320.0,15.0,4076639400670.0,3362087529178.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,151.009.425.508,164.098.752.809,,322.0,,151009425508.0,164098752809.0
II.,II.,II.,Nợ dài hạn,330,,297.978.718.015,167.715.444.518,,330.0,,297978718015.0,167715444518.0
1.,1.,1.,Phải trả dài hạn khác,337,,202.000.000,-,,337.0,,202000000.0,
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,16,297.776.718.015,167.715.444.518,,338.0,16.0,297776718015.0,167715444518.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.417.163.822.176,3.400.566.474.391,,400.0,,4417163822176.0,3400566474391.0
I.,I.,I.,Vốn chủ sở hữu,410,18,4.417.163.822.176,3.400.566.474.391,,410.0,18.0,4417163822176.0,3400566474391.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.487.724.840.000,2.261.597.240.000,,411.0,,2487724840000.0,2261597240000.0
,,,- Cổ phiếu phổ thông có quyền,411a,,2.487.724.840.000,2.261.597.240.000,,,,2487724840000.0,2261597240000.0
2.,2.,2.,Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),,415.0,,-300150000.0,-300150000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,599.601.897.399,389.798.534.033,,418.0,,599601897399.0,389798534033.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,1.330.137.234.777,749.470.850.358,,421.0,,1330137234777.0,749470850358.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,280.467.065.763,251.128.804.703,,,,280467065763.0,251128804703.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.049.670.169.014,498.342.045.655,,,,1049670169014.0,498342045655.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,12.319.351.712.371,10.426.388.609.273,,440.0,,12319351712371.0,10426388609273.0
