row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp/ thu trong năm,Số đã thực nộp/thu/ được khấu trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp/ thu trong năm,numeric__Số đã thực nộp/thu/ được khấu trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.444.092.790,-,-,9.444.092.790,9444092790.0,,,9444092790.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,74.995.131,252.208.085,300.783.715,26.419.501,74995131.0,252208085.0,300783715.0,26419501.0
,,,9.519.087.921,252.208.085,300.783.715,9.470.512.291,9519087921.0,252208085.0,300783715.0,9470512291.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,10.614.583.812,479.380.837.273,469.955.629.352,20.039.791.733,10614583812.0,479380837273.0,469955629352.0,20039791733.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,10.614.583.812,319.532.112.533,310.106.904.612,20.039.791.733,10614583812.0,319532112533.0,310106904612.0,20039791733.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,159.848.724.740,159.848.724.740,-,,159848724740.0,159848724740.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,12.743.515.462,12.743.515.462,-,,12743515462.0,12743515462.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,33.816.744.644,250.887.194.790,218.108.978.962,66.594.960.472,33816744644.0,250887194790.0,218108978962.0,66594960472.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,2.393.270.218,98.254.205.757,92.477.175.694,8.170.300.281,2393270218.0,98254205757.0,92477175694.0,8170300281.0
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,246.000.000,246.000.000,-,,246000000.0,246000000.0,
- Thuế thu nhập cá nhân,b. Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,2.250.300.415,81.358.377.743,76.869.139.140,6.739.539.018,2250300415.0,81358377743.0,76869139140.0,6739539018.0
- Thuế khác,b. Các khoản phải trả > - Thuế khác,- Thuế khác,142.969.803,16.649.828.014,15.362.036.554,1.430.761.263,142969803.0,16649828014.0,15362036554.0,1430761263.0
,,,46.824.598.674,841.265.753.282,793.285.299.470,94.805.052.486,46824598674.0,841265753282.0,793285299470.0,94805052486.0
