row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận tải VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,46.351.312.122,6.110.213.818.654,274.087.217.367,13.127.561.984,6.443.779.910.127,46351312122.0,6110213818654.0,274087217367.0,13127561984.0,6443779910127.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,15.934.668.342,1.737.112.483.067,2.161.370.816,444.255.455,1.755.652.777.680,15934668342.0,1737112483067.0,2161370816.0,444255455.0,1755652777680.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,15.934.668.342,1.709.450.096.843,2.161.370.816,444.255.455,1.727.990.391.456,15934668342.0,1709450096843.0,2161370816.0,444255455.0,1727990391456.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,27.662.386.224,-,-,27.662.386.224,,27662386224.0,,,27662386224.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,323.454.812,(449.473.321.228),(77.736.163.236),8.665.390,(526.877.364.262),323454812.0,-449473321228.0,-77736163236.0,8665390.0,-526877364262.0
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,,,(2.367.943.137),,(2.367.943.137),,,-2367943137.0,,-2367943137.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(109.673.810),(109.673.810),,,,-109673810.0,-109673810.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,323.454.812,65.761.899.799,(66.203.693.811),118.339.200,-,323454812.0,65761899799.0,-66203693811.0,118339200.0,
Thu hồi nhập kho,NGUYÊN GIÁ > Thu hồi nhập kho,Thu hồi nhập kho,-,(515.235.221.027),(9.164.526.288),-,(524.399.747.315),,-515235221027.0,-9164526288.0,,-524399747315.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,62.609.435.276,7.397.852.980.493,198.512.424.947,13.580.482.829,7.672.555.323.545,62609435276.0,7397852980493.0,198512424947.0,13580482829.0,7672555323545.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,14.640.269.210,2.852.324.013.930,218.873.756.214,8.388.092.160,3.094.226.131.514,14640269210.0,2852324013930.0,218873756214.0,8388092160.0,3094226131514.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.541.918.554,877.174.012.356,5.259.502.153,1.514.225.373,886.489.658.436,2541918554.0,877174012356.0,5259502153.0,1514225373.0,886489658436.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,2.541.918.554,877.174.012.356,5.259.502.153,1.514.225.373,886.489.658.436,2541918554.0,877174012356.0,5259502153.0,1514225373.0,886489658436.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,80.558.901,(295.849.438.260),(29.115.884.838),(46.158.388),(324.930.922.585),80558901.0,-295849438260.0,-29115884838.0,-46158388.0,-324930922585.0
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,,,(2.292.303.763),,(2.292.303.763),,,-2292303763.0,,-2292303763.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(109.673.810),(109.673.810),,,,-109673810.0,-109673810.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,80.558.901,18.778.574.640,(18.922.648.963),63.515.422,-,80558901.0,18778574640.0,-18922648963.0,63515422.0,
Thu hồi nhập kho,GIÁ TRỊ HAO MÒN LỦY KẾ > Thu hồi nhập kho,Thu hồi nhập kho,-,(314.628.012.900),(7.900.932.112),-,(322.528.945.012),,-314628012900.0,-7900932112.0,,-322528945012.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,17.262.746.665,3.433.648.588.026,195.017.373.529,9.856.159.145,3.655.784.867.365,17262746665.0,3433648588026.0,195017373529.0,9856159145.0,3655784867365.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,31.711.042.912,3.257.889.804.724,55.213.461.153,4.739.469.824,3.349.553.778.613,31711042912.0,3257889804724.0,55213461153.0,4739469824.0,3349553778613.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,45.346.688.611,3.964.204.392.467,3.495.051.418,3.724.323.684,4.016.770.456.180,45346688611.0,3964204392467.0,3495051418.0,3724323684.0,4016770456180.0
