row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,
Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,Công ty Cổ phần FPT,,
Chia cổ tức bằng cổ phiếu,Công ty Cổ phần FPT > Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,103.242.050.000,344.140.170.000,103242050000.0,344140170000.0
Chia cổ tức bằng tiền,Công ty Cổ phần FPT > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,103.242.052.000,103.242.052.000,103242052000.0,103242052000.0
Bán hàng hóa và dịch vụ,Công ty Cổ phần FPT > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,293.834.438,129.110.546,293834438.0,129110546.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty Cổ phần FPT > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",297.507.639.255,54.476.119.309,297507639255.0,54476119309.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI),,
Bán hàng hóa và dịch vụ,Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,874.467.057.515,726.826.570.830,874467057515.0,726826570830.0
"Mua tài sản cổ định, hàng hóa và dịch vụ","Công ty TNHH MTV Viễn thông Quốc tế FPT (FTI) > Mua tài sản cổ định, hàng hóa và dịch vụ","Mua tài sản cổ định, hàng hóa và dịch vụ",173.085.680.206,87.955.187.238,173085680206.0,87955187238.0
Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC),,
Nhận cổ tức,Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC) > Nhận cổ tức,Nhận cổ tức,191.538.434.000,24.983.274.000,191538434000.0,24983274000.0
Bán hàng hóa và dịch vụ,Công ty Cổ phần Dịch vụ Trực tuyến FPT (FOC) > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,14.456.747.092,14.415.187.800,14456747092.0,14415187800.0
