row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Giấy phép và quyền khai thác,Phần mềm máy vi tính,Tổng,numeric__Quyền sử dụng đất,numeric__Giấy phép và quyền khai thác,numeric__Phần mềm máy vi tính,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,45.523.375.025,672.532.913.096,69.788.042.085,787.844.330.206,45523375025.0,672532913096.0,69788042085.0,787844330206.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,40.452.096.664,56.149.674.215,8.633.563.591,105.235.334.470,40452096664.0,56149674215.0,8633563591.0,105235334470.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,40.452.096.664,56.149.674.215,8.633.563.591,105.235.334.470,40452096664.0,56149674215.0,8633563591.0,105235334470.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,(181.116.107),(181.116.107),,,-181116107.0,-181116107.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(181.116.107),(181.116.107),,,-181116107.0,-181116107.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,85.975.471.689,728.682.587.311,78.240.489.569,892.898.548.569,85975471689.0,728682587311.0,78240489569.0,892898548569.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,169.852.825.245,36.468.547.359,206.321.372.604,,169852825245.0,36468547359.0,206321372604.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,-,49.753.659.270,12.610.199.997,62.363.859.267,,49753659270.0,12610199997.0,62363859267.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,-,49.753.659.270,12.610.199.997,62.363.859.267,,49753659270.0,12610199997.0,62363859267.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,(181.116.107),(181.116.107),,,-181116107.0,-181116107.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(181.116.107),(181.116.107),,,-181116107.0,-181116107.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,-,219.606.484.515,48.897.631.249,268.504.115.764,,219606484515.0,48897631249.0,268504115764.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,45.523.375.025,502.680.087.851,33.319.494.726,581.522.957.602,45523375025.0,502680087851.0,33319494726.0,581522957602.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,85.975.471.689,509.076.102.796,29.342.858.320,624.394.432.805,85975471689.0,509076102796.0,29342858320.0,624394432805.0
