row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
I.,I.,I.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,1.633.443.437.901,1.160.504.114.744,,1.0,1633443437901.0,1160504114744.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khẩu hao tài sản cố định,02,948.853.517.703,848.251.317.384,,2.0,948853517703.0,848251317384.0
,,,Các khoản dự phòng,03,86.483.573.998,73.702.690.664,,3.0,86483573998.0,73702690664.0
,,,Lỗ/(lãi) chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,2.149.594.372,(2.709.421.057),,4.0,2149594372.0,-2709421057.0
,,,Lãi từ hoạt động đầu tư,05,(402.907.460.985),(179.104.549.207),,5.0,-402907460985.0,-179104549207.0
,,,Chi phí lãi vay,06,210.056.968.511,133.046.974.598,,6.0,210056968511.0,133046974598.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,08,2.478.079.631.500,2.033.691.127.126,,8.0,2478079631500.0,2033691127126.0
,,,Tăng các khoản phải thu,09,(866.514.227.482),(300.200.681.136),,9.0,-866514227482.0,-300200681136.0
,,,Giảm/(tăng) hàng tồn kho,10,405.338.629.100,(68.828.528.949),,10.0,405338629100.0,-68828528949.0
,,,"(Giảm)/tăng các khoản phải trả (Không kể lãi vay phải trả, thuê thu nhập doanh nghiệp phải nộp)",11,(1.745.524.216),302.996.006.699,,11.0,-1745524216.0,302996006699.0
,,,Tăng chi phí trả trước,12,(560.908.077.748),(285.803.891.178),,12.0,-560908077748.0,-285803891178.0
,,,Tiền lãi vay đã trả,14,(198.511.446.085),(88.498.158.336),,14.0,-198511446085.0,-88498158336.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(218.108.978.962),(79.981.504.174),,15.0,-218108978962.0,-79981504174.0
,,,Tiền thu khác từ hoạt động kinh doanh,16,179.700.000,192.200.000,,16.0,179700000.0,192200000.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(153.137.936.211),(41.965.087.747),,17.0,-153137936211.0,-41965087747.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,884.671.769.896,1.471.601.482.305,,20.0,884671769896.0,1471601482305.0
II.,II.,II.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(1.930.240.065.484),(1.536.968.800.573),,21.0,-1930240065484.0,-1536968800573.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,38.181.818,195.454.545,,22.0,38181818.0,195454545.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(2.224.487.712.975),(2.302.778.715.927),,23.0,-2224487712975.0,-2302778715927.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,2.650.148.158.796,410.850.821.508,,24.0,2650148158796.0,410850821508.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(207.000.000.000),-,,25.0,-207000000000.0,
5.,II. > 5.,5.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,217.440.085.542,192.760.172.911,,27.0,217440085542.0,192760172911.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(1.494.101.352.303),(3.235.941.067.536),,30.0,-1494101352303.0,-3235941067536.0
