row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017_1,Ngày 31 tháng 12 năm 2017_2,numeric__Loại hình kinh doanh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2017,numeric__Ngày 31 tháng 12 năm 2017_1,numeric__Ngày 31 tháng 12 năm 2017_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Vina Đại Phước (*),Công ty Cổ phần Vina Đại Phước (*),Công ty Cổ phần Vina Đại Phước (*),Bất động sản,128.800.000.000,(7.481.277.466),"8,00%",128.800.000.000,(7.481.277.466),"8,00%",,128800000000.0,-7481277466.0,0.08,128800000000.0,-7481277466.0,0.08
Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Công ty Cổ phần Phát triển Đô thị Phú Quốc,Bất động sản,50.000.000.000,-,"6,67%",50.000.000.000,-,"6,67%",,50000000000.0,,0.0667,50000000000.0,,0.0667
Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Đầu tư và thương mại,40.204.950.907,-,"14,75%",40.204.950.907,-,"14,75%",,40204950907.0,,0.1475,40204950907.0,,0.1475
Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Công ty Cổ phần Cao su Phú Riềng - Kratie,Sản xuất cao su,20.000.000.000,(20.000.000.000),"5,00%",20.000.000.000,(20.000.000.000),"5,00%",,20000000000.0,-20000000000.0,0.05,20000000000.0,-20000000000.0,0.05
Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Công ty Cổ phần Sông Đà Hà Nội,Bất động sản,6.000.000.000,-,"15,00%",6.000.000.000,-,"15,00%",,6000000000.0,,0.15,6000000000.0,,0.15
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Bất động sản,1.240.000.000,(1.155.107.780),"9,02%",1.240.000.000,(783.914.553),"9,02%",,1240000000.0,-1155107780.0,0.0902,1240000000.0,-783914553.0,0.0902
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Bất động sản,173.958.093,-,"0,50%",-,-,,,173958093.0,,0.005,,,
Công ty TNHH Taekwang - DIC,Công ty TNHH Taekwang - DIC,Công ty TNHH Taekwang - DIC,Xây dựng,-,-,,38.025.000.000,-,"10,00%",,,,,38025000000.0,,0.1
Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Xây dựng,-,-,,8.469.000.000,(6.124.754),"5,00%",,,,,8469000000.0,-6124754.0,0.05
Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Xây dựng,-,-,,7.369.504.500,-,"14,55%",,,,,7369504500.0,,0.14550000000000002
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,246.418.909.000,(28.636.385.246),,300.108.455.407,(28.271.316.773),,,246418909000.0,-28636385246.0,,300108455407.0,-28271316773.0,
