row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng Sản Miền Trung,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng Sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng Sản Miền Trung,Công ty con,Cho vay hỗ trợ kinh doanh,13.323.000.000,1.400.000.000,,,13323000000.0,1400000000.0
Công ty Cổ phần Đầu tư Phát triển Phương Nam,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty Cổ phần Đầu tư Phát triển Phương Nam,Công ty liên kết,Cho vay hỗ trợ kinh doanh,-,35.700.000.000,,,,35700000000.0
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty trong cùng Tập đoàn,Cho vay hỗ trợ kinh doanh,-,1.755.480.742,,,,1755480742.0
Công ty Cổ phần Thủy Cung DIG,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,Công ty con,Cho vay hỗ trợ kinh doanh,-,100.000.000,,,,100000000.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty Cổ phần Gạch men Anh em,Phải thu về cho vay dài hạn > Công ty Cổ phần Gạch men Anh em,Công ty Cổ phần Gạch men Anh em,Công ty con,Cho vay hỗ trợ kinh doanh,70.000.000.000,10.000.000.000,,,70000000000.0,10000000000.0
Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Phải thu về cho vay dài hạn > Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty Cổ phần Cấu kiện Bê tông DIC Miền Đông,Công ty trong cùng Tập đoàn,Cho vay hỗ trợ kinh doanh,3.538.379.756,8.054.507.014,,,3538379756.0,8054507014.0
Công ty Cổ phần Vật liệu Xây dựng DIC,Phải thu về cho vay dài hạn > Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty con,Cho vay hỗ trợ kinh doanh,2.220.006.150,4.220.006.150,,,2220006150.0,4220006150.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,Phải thu về cho vay dài hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựng Khoáng sản Miền Trung,Công ty con,Cho vay hỗ trợ kinh doanh,-,4.205.000.000,,,,4205000000.0
,,,,,89.081.385.906,65.434.993.906,,,89081385906.0,65434993906.0
