row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,20.575.107.190,4.297.143.130,28.604.770.214,2.211.545.321,457.856.820,56.146.422.675,20575107190.0,4297143130.0,28604770214.0,2211545321.0,457856820.0,56146422675.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,-,30.880.000,12.477.979.999,815.543.182,-,13.324.403.181,,30880000.0,12477979999.0,815543182.0,,13324403181.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,20.575.107.190,4.328.023.130,41.082.750.213,3.027.088.503,457.856.820,69.470.825.856,20575107190.0,4328023130.0,41082750213.0,3027088503.0,457856820.0,69470825856.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,869.652.944,34.080.000,9.452.585.338,1.486.519.070,334.954.546,12.177.791.898,869652944.0,34080000.0,9452585338.0,1486519070.0,334954546.0,12177791898.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(8.978.201.994),(1.938.047.177),(16.158.808.101),(1.666.206.434),(325.336.255),(29.066.599.961),-8978201994.0,-1938047177.0,-16158808101.0,-1666206434.0,-325336255.0,-29066599961.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(584.688.304),(451.637.002),(3.053.793.740),(181.020.246),(36.247.121),(4.307.386.413),-584688304.0,-451637002.0,-3053793740.0,-181020246.0,-36247121.0,-4307386413.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(9.562.890.298),(2.389.684.179),(19.212.601.841),(1.847.226.680),(361.583.376),(33.373.986.374),-9562890298.0,-2389684179.0,-19212601841.0,-1847226680.0,-361583376.0,-33373986374.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,11.596.905.196,2.359.095.953,12.445.962.113,545.338.887,132.520.565,27.079.822.714,11596905196.0,2359095953.0,12445962113.0,545338887.0,132520565.0,27079822714.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,11.012.216.892,1.938.338.951,21.870.148.372,1.179.861.823,96.273.444,36.096.839.482,11012216892.0,1938338951.0,21870148372.0,1179861823.0,96273444.0,36096839482.0
