row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số đầu năm,Số đầu năm,2.381.948.190.000,66.111.261.707,159.220.864.853,301.442.386.964,2.908.722.703.524,2381948190000.0,66111261707.0,159220864853.0,301442386964.0,2908722703524.0
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,128.374.033.496,128.374.033.496,,,,128374033496.0,128374033496.0
Cổ tức công bố,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Cổ tức công bố,Cổ tức công bố,-,-,-,(107.187.668.550),(107.187.668.550),,,,-107187668550.0,-107187668550.0
Trích lập quỹ khen thưởng phúc lợi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(5.293.828.252),(5.293.828.252),,,,-5293828252.0,-5293828252.0
Trích lập quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,5.293.828.252,(5.293.828.252),-,,,5293828252.0,-5293828252.0,
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > Số cuối năm,Số cuối năm,2.381.948.190.000,66.111.261.707,164.514.693.105,312.041.095.406,2.924.615.240.218,2381948190000.0,66111261707.0,164514693105.0,312041095406.0,2924615240218.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,,
Số đầu năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số đầu năm,Số đầu năm,2.381.948.190.000,66.111.261.707,164.514.693.105,312.041.095.406,2.924.615.240.218,2381948190000.0,66111261707.0,164514693105.0,312041095406.0,2924615240218.0
Cổ tức công bố,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Cổ tức công bố,Cổ tức công bố,142.899.640.000,-,-,(142.899.640.000),-,142899640000.0,,,-142899640000.0,
Lợi nhuận thuần trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,280.518.411.107,280.518.411.107,,,,280518411107.0,280518411107.0
Trích lập quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,7.702.442.010,(7.702.442.010),-,,,7702442010.0,-7702442010.0,
"Trích lập quỹ khen thưởng, phúc lợi","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(7.702.442.010),(7.702.442.010),,,,-7702442010.0,-7702442010.0
Số cuối năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Số cuối năm,Số cuối năm,2.524.847.830.000,66.111.261.707,172.217.135.115,434.254.982.493,3.197.431.209.315,2524847830000.0,66111261707.0,172217135115.0,434254982493.0,3197431209315.0
