row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017_1,Ngày 31 tháng 12 năm 2017_2,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2017,numeric__Ngày 31 tháng 12 năm 2017_1,numeric__Ngày 31 tháng 12 năm 2017_2
,,,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,
Công ty Cổ phần Thủy Cung DIG(trước đây là Công ty Cổ phần Đầu tư Phát triển Xây dựng Phương Bắc),Công ty Cổ phần Thủy Cung DIG(trước đây là Công ty Cổ phần Đầu tư Phát triển Xây dựng Phương Bắc),Công ty Cổ phần Thủy Cung DIG(trước đây là Công ty Cổ phần Đầu tư Phát triển Xây dựng Phương Bắc),147.250.000.000,(3.458.000),"95,00%",80.000.000.000,-,"95,00%",147250000000.0,-3458000.0,0.95,80000000000.0,,0.95
Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,84.135.660.000,(65.811.773.167),"96,36%",84.135.660.000,(45.059.172.871),"96,36%",84135660000.0,-65811773167.0,0.9636,84135660000.0,-45059172871.0,0.9636
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,75.902.432.291,(7.848.039.797),"98,00%",75.902.432.291,(4.819.543.394),"98,00%",75902432291.0,-7848039797.0,0.98,75902432291.0,-4819543394.0,0.98
Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,75.389.000.000,-,"68,58%",75.389.000.000,-,"68,58%",75389000000.0,,0.6858,75389000000.0,,0.6858
Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,Công ty Cổ phần Gạch men Anh em DIC,75.250.000.000,(75.250.000.000),"89,03%",-,-,-,75250000000.0,-75250000000.0,0.8903,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựngKhoáng Sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựngKhoáng Sản Miền Trung,Công ty Cổ phần Đầu tư Phát triển Xây dựngKhoáng Sản Miền Trung,20.360.390.000,(20.360.390.000),"68,96%",20.360.390.000,(17.172.858.867),"68,96%",20360390000.0,-20360390000.0,0.6896,20360390000.0,-17172858867.0,0.6896
Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,14.726.900.000,-,"51,67%",7.751.000.000,-,"51,67%",14726900000.0,,0.5167,7751000000.0,,0.5167
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) Số 2,12.862.796.574,(3.456.640.952),"50,07%",12.862.796.574,-,"50,07%",12862796574.0,-3456640952.0,0.5007,12862796574.0,,0.5007
Công ty Cổ phần DIC Toàn Cầu(trước đây là Công ty TNHH Quản lý Khai thácTài sản DIC Bình Minh),Công ty Cổ phần DIC Toàn Cầu(trước đây là Công ty TNHH Quản lý Khai thácTài sản DIC Bình Minh),Công ty Cổ phần DIC Toàn Cầu(trước đây là Công ty TNHH Quản lý Khai thácTài sản DIC Bình Minh),-,-,,1.510.000.000,(617.536.961),"100,00%",,,,1510000000.0,-617536961.0,1.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,505.877.178.865,(172.730.301.916),,357.911.278.865,(67.669.112.093),,505877178865.0,-172730301916.0,,357911278865.0,-67669112093.0,
