row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 14.1) > Đầu tư vào công ty liên kết (Thuyết minh số 14.2) > Đầu tư vào các đơn vị khác (Thuyết minh số 14.3) > Đầu tư nấm giữ đến ngày đáo hạn (Thuyết minh số 14.4),Số cuối năm > 505.877.178.865 > 324.739.077.152 > 246.418.909.000 > 12.190.000.000,VND Số đầu năm > 357.911.278.865 > 361.069.657.533 > 300.108.455.407 > 16.000.000.000,numeric__Số cuối năm > 505.877.178.865 > 324.739.077.152 > 246.418.909.000 > 12.190.000.000,numeric__VND Số đầu năm > 357.911.278.865 > 361.069.657.533 > 300.108.455.407 > 16.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.089.225.165.017,1.035.089.391.805,1089225165017.0,1035089391805.0
Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,Dự phòng cho các khoản đầu tư dài hạn,(204.421.005.154),(133.896.892.158),-204421005154.0,-133896892158.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,884.804.159.863,901.192.499.647,884804159863.0,901192499647.0
