row_label_raw,row_label_full,col_0,Loại hình kinh doanh,Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018_1,Ngày 31 tháng 12 năm 2018_2,Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017_1,Ngày 31 tháng 12 năm 2017_2,numeric__Loại hình kinh doanh,numeric__Ngày 31 tháng 12 năm 2018,numeric__Ngày 31 tháng 12 năm 2018_1,numeric__Ngày 31 tháng 12 năm 2018_2,numeric__Ngày 31 tháng 12 năm 2017,numeric__Ngày 31 tháng 12 năm 2017_1,numeric__Ngày 31 tháng 12 năm 2017_2
,,,Loại hình kinh doanh,Giá gốc,Dự phòng,%,Giá gốc,Dự phòng,%,,,,,,,
Công ty Cổ phần Đầu tư Phát triển Phương Nam (*),Công ty Cổ phần Đầu tư Phát triển Phương Nam (*),Công ty Cổ phần Đầu tư Phát triển Phương Nam (*),"Du lịch, khách sạn",254.150.768.652,-,"48,88%",189.200.000.000,-,"43,00%",,254150768652.0,,0.4888,189200000000.0,,0.43
"Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")","Công ty Cổ phần DIC Số 4 (""DIC Số 4"")",Xây lắp,27.402.184.500,-,"26,23%",-,-,,,27402184500.0,,0.2623,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Công ty Cổ phần Đầu tư Phát triển Xây dựng Bê tông,Sản xuất bê tông,17.982.564.000,-,"36,00%",17.982.564.000,-,"36,00%",,17982564000.0,,0.36,17982564000.0,,0.36
Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Công ty Cổ phần Đầu tư Phát triển Xây dựng Du lịch Thế thao Vũng Tàu,Du lịch,17.938.560.000,(2.436.781.031),"23,92%",17.938.560.000,(690.001.746),"23,92%",,17938560000.0,-2436781031.0,0.23920000000000002,17938560000.0,-690001746.0,0.23920000000000002
Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Bất động sản,4.815.000.000,-,"42,67%",4.815.000.000,-,"42,67%",,4815000000.0,,0.4267,4815000000.0,,0.4267
Công ty Cổ phần DIC Toàn Cầu (trước đây là Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh),Công ty Cổ phần DIC Toàn Cầu (trước đây là Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh),Công ty Cổ phần DIC Toàn Cầu (trước đây là Công ty TNHH Quản lý Khai thác tài sản DIC Bình Minh),"Tự vấn, môi giới, đấu giá bất động sản",2.450.000.000,(617.536.961),"49,00%",-,-,,,2450000000.0,-617536961.0,0.49,,,
Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty Cổ phần Đầu tư Việt Thiên Lâm,Công ty Cổ phần Đầu tư Việt Thiên Lâm,Bất động sản,-,-,,86.220.344.334,(2.754.499.240),"22,00%",,,,,86220344334.0,-2754499240.0,0.22
Công ty Cổ phần Gạch men Anh Em,Công ty Cổ phần Gạch men Anh Em,Công ty Cổ phần Gạch men Anh Em,Sản xuất gạch men,-,-,,34.511.962.306,(34.511.962.306),"40,83%",,,,,34511962306.0,-34511962306.0,0.4083
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hội An,"Xây lắp, sản xuất vật liệu",-,-,,10.401.226.893,-,"29,97%",,,,,10401226893.0,,0.29969999999999997
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,324.739.077.152,(3.054.317.992),,361.069.657.533,(37.956.463.292),,,324739077152.0,-3054317992.0,,361069657533.0,-37956463292.0,
