row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,77.186.043.598,29.501.100.289,77186043598.0,29501100289.0
"Lệ phí trước bạ, phí bảo trì chung cư","Lệ phí trước bạ, phí bảo trì chung cư","Lệ phí trước bạ, phí bảo trì chung cư",50.043.227.956,34.313.329.501,50043227956.0,34313329501.0
"Phải trả chi phí đền bù, giải tỏa","Phải trả chi phí đền bù, giải tỏa","Phải trả chi phí đền bù, giải tỏa",36.228.655.209,53.034.154.726,36228655209.0,53034154726.0
Mượn tiền từ công ty con,Mượn tiền từ công ty con,Mượn tiền từ công ty con,31.654.153.576,-,31654153576.0,
Thu hộ,Thu hộ,Thu hộ,6.356.340.086,-,6356340086.0,
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",6.087.907.500,3.578.338.160,6087907500.0,3578338160.0
Khác,Khác,Khác,16.549.122.038,5.938.194.094,16549122038.0,5938194094.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,224.105.449.963,126.365.116.770,224105449963.0,126365116770.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các bên khác,Trong đó: > Các bên khác,Các bên khác,192.451.296.387,126.365.116.770,192451296387.0,126365116770.0
Các bên liên quan (Thuyết minh số 29),Trong đó: > Các bên liên quan (Thuyết minh số 29),Các bên liên quan (Thuyết minh số 29),31.654.153.576,-,31654153576.0,
