row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Công ty con,Chi phí xây dựng,45.591.436.803,58.970.208.460,,,45591436803.0,58970208460.0
Công ty Cổ phần DIC Số 4,Phải trả người bán ngắn hạn > Công ty Cổ phần DIC Số 4,Công ty Cổ phần DIC Số 4,Công ty liên kết,Chi phí xây dựng,35.213.568.836,47.868.185.742,,,35213568836.0,47868185742.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty Cổ phần Đầu tư Phát triển Xây dựng (DIC) số 2,Công ty con,Chi phí xây dựng,20.913.510.182,28.137.737.377,,,20913510182.0,28137737377.0
Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty Cổ phần Đầu tư Phát triển Xây dựng Thanh Bình,Công ty trong cùng Tập đoàn,Chi phí xây dựng,4.540.047.517,9.246.430.292,,,4540047517.0,9246430292.0
Công ty Cổ phần Vật liệu Xây dựng DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty Cổ phần Vật liệu Xây dựng DIC,Công ty con,Mua nguyên vật liệu,3.742.163.283,5.269.143.507,,,3742163283.0,5269143507.0
Công ty Cổ phần Du lịch và Thương mại DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Du lịch và Thương mại DIC,Công ty Cổ phần Du lịch và Thương mại DIC,Công ty con,Mua dịch vụ,1.656.377.176,1.309.778.962,,,1656377176.0,1309778962.0
Công ty Cổ phần Bất động sản DIC,Phải trả người bán ngắn hạn > Công ty Cổ phần Bất động sản DIC,Công ty Cổ phần Bất động sản DIC,Công ty liên kết,Chi phí môi giới,-,10.115.029.158,,,,10115029158.0
,,,,,111.657.103.797,160.916.513.498,,,111657103797.0,160916513498.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Thủy Cung DIG,Phải trả ngắn hạn khác > Công ty Cổ phần Thủy Cung DIG,Công ty Cổ phần Thủy Cung DIG,Công ty con,Cho mượn,25.000.000.000,-,,,25000000000.0,
Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Phải trả ngắn hạn khác > Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty Cổ phần Đầu tư Phát triển Xây dựng Hà Nam,Công ty con,Cho mượn,6.654.153.576,-,,,6654153576.0,
,,,,,31.654.153.576,-,,,31654153576.0,
