row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 15.1) > Đầu tư vào công ty liên kết (Thuyết minh số 15.2),Số cuối năm > 8.587.351.944.217 > -,VND Số đầu năm > 7.446.689.944.217 > 376.516.210.000,numeric__Số cuối năm > 8.587.351.944.217 > -,numeric__VND Số đầu năm > 7.446.689.944.217 > 376.516.210.000
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(139.242.640.229),-,-139242640229.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.448.109.303.988,7.823.206.154.217,8448109303988.0,7823206154217.0
