row_label_raw,row_label_full,Ông Bùi Ngọc Đức > Ông Lương Trí Thín,Tổng Giám đốc,bổ nhiệm ngày 1 tháng 7 năm 2020 > từ nhiệm ngày 1 tháng 7 năm 2020,numeric__Tổng Giám đốc,numeric__bổ nhiệm ngày 1 tháng 7 năm 2020 > từ nhiệm ngày 1 tháng 7 năm 2020
Ông Lương Trí Thảo,Ông Lương Trí Thảo,Ông Lương Trí Thảo,Phó Tổng Giám đốc,,,
Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Bà Đỗ Thị Thái,Phó Tổng Giám đốc,,,
Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Ông Nguyễn Trường Sơn,Phó Tổng Giám đốc,,,
Ông Lê Hào,Ông Lê Hào,Ông Lê Hào,Phó Tổng Giám đốc,bổ nhiệm ngày 1 tháng 7 năm 2020,,
Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Ông Hà Đức Hiếu,Phó Tổng Giám đốc,bổ nhiệm ngày 1 tháng 7 năm 2020,,
Ông Bùi Ngọc Đức,Ông Bùi Ngọc Đức,Ông Bùi Ngọc Đức,Phó Tổng Giám đốc,từ nhiệm ngày 1 tháng 7 năm 2020,,
Bà Bùi Thanh Thảo,Bà Bùi Thanh Thảo,Bà Bùi Thanh Thảo,Kế toán trường,bổ nhiệm ngày 1 tháng 7 năm 2020,,
Bà Trần Thị Thủy Trang,Bà Trần Thị Thủy Trang,Bà Trần Thị Thủy Trang,Kế toán trường,từ nhiệm ngày 1 tháng 7 năm 2020,,
