row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),29.047.617.008,703.216.538.723,4.241.345.696.537,3500714120000.0,10867980806.0,-2500560000.0,29047617008.0,703216538723.0,4241345696537.0
Phát hành cổ phiếu cho cổ đông hiện hữu,Năm trước > Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,874.553.390.000,(190.000.000),-,-,-,874.383.390.000,874553390000.0,-190000000.0,,,,874383390000.0
Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,Năm trước > Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo Chương trình lựa chọn cho người lao động,55.520.000.000,-,-,-,(55.520.000.000),-,55520000000.0,,,,-55520000000.0,
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,769.559.160.000,-,-,-,(769.559.160.000),-,769559160000.0,,,,-769559160000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,906.696.885.293,906.696.885.293,,,,,906696885293.0,906696885293.0
Trích quỹ đầu tư phát triển,Năm trước > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,23.568.539.705,(23.568.539.705),-,,,,23568539705.0,-23568539705.0,
Trích quỹ khen thưởng. phúc lợi,Năm trước > Trích quỹ khen thưởng. phúc lợi,Trích quỹ khen thưởng. phúc lợi,-,-,-,-,(35.352.809.558),(35.352.809.558),,,,,-35352809558.0,-35352809558.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),52.616.156.713,725.912.914.753,5.987.053.162.272,5200346670000.0,10677980806.0,-2500560000.0,52616156713.0,725912914753.0,5987053162272.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),52.616.156.713,725.912.914.753,5.987.053.162.272,5200346670000.0,10677980806.0,-2500560000.0,52616156713.0,725912914753.0,5987053162272.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,244.904.332.968,244.904.332.968,,,,,244904332968.0,244904332968.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,24.330.295.118,(24.330.295.118),-,,,,24330295118.0,-24330295118.0,
Trích quỹ khen thưởng. phúc lợi,Năm nay > Trích quỹ khen thưởng. phúc lợi,Trích quỹ khen thưởng. phúc lợi,-,-,-,-,(39.798.393.861),(39.798.393.861),,,,,-39798393861.0,-39798393861.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),76.946.451.831,906.688.558.742,6.192.159.101.379,5200346670000.0,10677980806.0,-2500560000.0,76946451831.0,906688558742.0,6192159101379.0
