row_label_raw,row_label_full,col_0,Phương tiệnvận tải,Thiết bịvăn phòng,Tài sâncó định khác,VNDTổng cộng,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sâncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,18.600.102.298,9.402.000.606,965.494.220,28.967.597.124,18600102298.0,9402000606.0,965494220.0,28967597124.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,420.269.182,-,420.269.182,,420269182.0,,420269182.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,18.600.102.298,9.822.269.788,965.494.220,29.387.866.306,18600102298.0,9822269788.0,965494220.0,29387866306.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,5.014.936.842,2.865.908.788,509.090.909,8.389.936.539,5014936842.0,2865908788.0,509090909.0,8389936539.0
Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,,,,
Số đầu năm,Giả trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(9.992.901.510),(4.734.209.894),(582.105.280),(15.309.216.684),-9992901510.0,-4734209894.0,-582105280.0,-15309216684.0
Khẩu hao trong năm,Giả trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(1.959.120.609),(2.052.673.453),(169.830.906),(4.181.624.968),-1959120609.0,-2052673453.0,-169830906.0,-4181624968.0
Số cuối năm,Giả trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.952.022.119),(6.786.883.347),(751.936.186),(19.490.841.652),-11952022119.0,-6786883347.0,-751936186.0,-19490841652.0
Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,,,,
Số đầu năm,Giả trị còn lại: > Số đầu năm,Số đầu năm,8.607.200.788,4.667.790.712,383.388.940,13.658.380.440,8607200788.0,4667790712.0,383388940.0,13658380440.0
Số cuối năm,Giả trị còn lại: > Số cuối năm,Số cuối năm,6.648.080.179,3.035.386.441,213.558.034,9.897.024.654,6648080179.0,3035386441.0,213558034.0,9897024654.0
