row_label_raw,row_label_full,col_0,Phần mềm,Trang web,Tài sản khác,VND Tổng cộng,numeric__Phần mềm,numeric__Trang web,numeric__Tài sản khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,6.739.579.434,657.166.005,310.734.600,7.707.480.039,6739579434.0,657166005.0,310734600.0,7707480039.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,769.931.968,-,-,769.931.968,769931968.0,,,769931968.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,7.509.511.402,657.166.005,310.734.600,8.477.412.007,7509511402.0,657166005.0,310734600.0,8477412007.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,1.059.917.309,385.166.005,310.734.600,1.755.817.914,1059917309.0,385166005.0,310734600.0,1755817914.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(3.220.442.250),(642.166.005),(310.734.600),(4.173.342.855),-3220442250.0,-642166005.0,-310734600.0,-4173342855.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.270.219.399),(15.000.000),-,(1.285.219.399),-1270219399.0,-15000000.0,,-1285219399.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(4.490.661.649),(657.166.005),(310.734.600),(5.458.562.254),-4490661649.0,-657166005.0,-310734600.0,-5458562254.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,3.519.137.184,15.000.000,-,3.534.137.184,3519137184.0,15000000.0,,3534137184.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.018.849.753,-,-,3.018.849.753,3018849753.0,,,3018849753.0
